Domain Name,Domain Type,Agency,City,State,Latitude,Longitude
GOODLETTSVILLE.GOV,City,Commission on Civil Rights,Goodlettsville,TN,36.32310907,-86.7133283
SANFRANCISCO.GOV,City,General Services Administration,San Francisco,CA,37.77492774,-122.4194193
SF.GOV,City,General Services Administration,San Francisco,CA,37.77492774,-122.4194193
MLTWA.GOV,City,gov Helpdesk,Mountlake Terrace,WA,47.78814568,-122.3087381
TUALATIN.GOV,City,gov Helpdesk,Tualatin,OR,45.38400902,-122.7639897
ABERDEENMD.GOV,City,Non-Federal Agency,Aberdeen,MD,39.50955981,-76.16411792
ABERDEENWA.GOV,City,Non-Federal Agency,Aberdeen,WA,46.97536931,-123.8157174
ABINGDON-VA.GOV,City,Non-Federal Agency,Abingdon,VA,36.70982725,-81.97734557
ABINGTONMA.GOV,City,Non-Federal Agency,Abington,MA,42.10481701,-70.94531902
ABSECONNJ.GOV,City,Non-Federal Agency,Absecon,NJ,39.42844551,-74.49570647
ACCESSPRINCETONNJ.GOV,City,Non-Federal Agency,Princeton,NJ,40.34871734,-74.65904648
ACTON-MA.GOV,City,Non-Federal Agency,Acton,MA,42.48508727,-71.43283726
ACTONMA.GOV,City,Non-Federal Agency,Acton,MA,42.48508727,-71.43283726
ADAK-AK.GOV,City,Non-Federal Agency,Adak,AK,51.87999708,-176.6580563
ADAMN.GOV,City,Non-Federal Agency,Ada,MN,47.29968703,-96.51534849
ADDISONTX.GOV,City,Non-Federal Agency,Addison,TX,32.96178584,-96.82916865
ADRIANMI.GOV,City,Non-Federal Agency,Adrian,MI,41.8975474,-84.03716828
AFTONWYOMING.GOV,City,Non-Federal Agency,AFTON,WY,42.72492948,-110.9318667
AKRONOHIO.GOV,City,Non-Federal Agency,Akron,OH,41.08143682,-81.51900724
ALAMEDACA.GOV,City,Non-Federal Agency,Alameda,CA,37.7652086,-122.2416356
ALAMOHEIGHTSTX.GOV,City,Non-Federal Agency,Alamo Heights,TX,29.48494887,-98.46584891
ALBANYNY.GOV,City,Non-Federal Agency,Albany,NY,42.6525759,-73.75622859
ALBEMARLENC.GOV,City,Non-Federal Agency,Albemarle,NC,35.35013791,-80.20005728
ALBUQUERQUE-NM.GOV,City,Non-Federal Agency,Albuquerque,NM,35.08448598,-106.6511356
ALEKNAGIKAK.GOV,City,Non-Federal Agency,Aleknagik,AK,59.27305704,-158.6177757
ALEXANDERCITYAL.GOV,City,Non-Federal Agency,Alexander City,AL,32.94400792,-85.9538497
ALEXANDRIANJ.GOV,City,Non-Federal Agency,Milford,NJ,40.56870732,-75.09461682
ALEXANDRIAVA.GOV,City,Non-Federal Agency,Alexandria,VA,38.80483684,-77.04691708
ALFREDME.GOV,City,Non-Federal Agency,Alfred,ME,43.47646629,-70.71838616
ALGONAC-MI.GOV,City,Non-Federal Agency,Algonac,MI,42.61836994,-82.53101693
ALGONAWA.GOV,City,Non-Federal Agency,Algona,WA,47.27898887,-122.2520567
ALGOODTN.GOV,City,Non-Federal Agency,Algood,TN,36.19588736,-85.44857604
ALIQUIPPAPA.GOV,City,Non-Federal Agency,Aliquippa,PA,40.63672779,-80.24005873
ALLENDALENJ.GOV,City,Non-Federal Agency,Allendale,NJ,41.04148937,-74.12902951
ALLENSTOWNNH.GOV,City,Non-Federal Agency,Allenstown,NH,43.15785857,-71.40561918
ALLENTOWNPA.GOV,City,Non-Federal Agency,Allentown,PA,40.6084298,-75.49017672
