,Domain Name,Domain Type,Agency,City,State
13,ADAK-AK.GOV,City,Non-Federal Agency,Adak,AK
24,ALEKNAGIKAK.GOV,City,Non-Federal Agency,Aleknagik,AK
53,ANCHORAGEAK.GOV,City,Non-Federal Agency,Anchorage,AK
424,CITYOFHOMER-AK.GOV,City,Non-Federal Agency,Homer,AK
938,GUSTAVUS-AK.GOV,City,Non-Federal Agency,Gustavus,AK
1032,HOUSTON-AK.GOV,City,Non-Federal Agency,Houston,AK
1634,PETERSBURGAK.GOV,City,Non-Federal Agency,Petersburg,AK
1646,PILOTPOINTAK.GOV,City,Non-Federal Agency,Pilot Point,AK
2017,THORNEBAY-AK.GOV,City,Non-Federal Agency,Thorne Bay,AK
2268,WHITTIERALASKA.GOV,City,Non-Federal Agency,Whittier,AK
