,Domain Name,Domain Type,Agency,City,State
25,ALEXANDERCITYAL.GOV,City,Non-Federal Agency,Alexander City,AL
62,ANNISTONAL.GOV,City,Non-Federal Agency,Anniston,AL
182,BIRMINGHAMAL.GOV,City,Non-Federal Agency,Birmingham,AL
430,CITYOFIRONDALEAL.GOV,City,Non-Federal Agency,Irondale,AL
449,CITYOFMILLBROOK-AL.GOV,City,Non-Federal Agency,Millbrook,AL
628,DECATUR-AL.GOV,City,Non-Federal Agency,Decatur,AL
643,DEMOPOLISAL.GOV,City,Non-Federal Agency,Demopolis,AL
749,ENTERPRISEAL.GOV,City,Non-Federal Agency,Enterprise,AL
767,FAIRHOPE-AL.GOV,City,Non-Federal Agency,Fairhope,AL
934,GULFSHORESAL.GOV,City,Non-Federal Agency,Gulf Shores,AL
936,GUNTERSVILLEAL.GOV,City,Non-Federal Agency,Guntersville,AL
1022,HOOVERAL.GOV,City,Non-Federal Agency,Hoover,AL
1023,HOOVERALABAMA.GOV,City,Non-Federal Agency,Hoover,AL
1044,HUNTSVILLEAL.GOV,City,Non-Federal Agency,Huntsville,AL
1179,LEEDSALABAMA.GOV,City,Non-Federal Agency,Leeds,AL
1268,MADISONAL.GOV,City,Non-Federal Agency,Madison,AL
1335,MENTONEALABAMA.GOV,City,Non-Federal Agency,Mentone,AL
1396,MONTGOMERYAL.GOV,City,Non-Federal Agency,Montgomery,AL
1401,MOODYALABAMA.GOV,City,Non-Federal Agency,Moody,AL
1585,OPELIKA-AL.GOV,City,Non-Federal Agency,Opelika,AL
1701,PRATTVILLE-AL.GOV,City,Non-Federal Agency,Prattville,AL
1702,PRATTVILLEAL.GOV,City,Non-Federal Agency,Prattville,AL
1735,REDBAY-AL.GOV,City,Non-Federal Agency,Red Bay,AL
1841,SARDISCITYAL.GOV,City,Non-Federal Agency,SARDIS CITY,AL
1868,SELMA-AL.GOV,City,Non-Federal Agency,Selma,AL
1896,SMITHSSTATIONAL.GOV,City,Non-Federal Agency,Smiths Station,AL
1993,SYLACAUGAAL.GOV,City,Non-Federal Agency,Sylacauga,AL
1997,TALLASSEE-AL.GOV,City,Non-Federal Agency,Millbrook,AL
2086,TRINITYAL.GOV,City,Non-Federal Agency,Trinity,AL
2090,TROYAL.GOV,City,Non-Federal Agency,Troy,AL
2108,TUSCALOOSA-AL.GOV,City,Non-Federal Agency,Tuscaloosa,AL
2109,TUSKEGEEALABAMA.GOV,City,Non-Federal Agency,Tuskegee,AL
2121,UNIONSPRINGSAL.GOV,City,Non-Federal Agency,Union Springs,AL
