,Domain Name,Domain Type,Agency,City,State
51,AMITYARKANSAS.GOV,City,Non-Federal Agency,Amity,AR
111,BARLINGAR.GOV,City,Non-Federal Agency,Barling,AR
143,BELLAVISTAAR.GOV,City,Non-Federal Agency,Bella Vista,AR
280,CABOTAR.GOV,City,Non-Federal Agency,Cabot,AR
316,CAVESPRINGSAR.GOV,City,Non-Federal Agency,Cave Springs,AR
397,CITYOFCONWAY-AR.GOV,City,Non-Federal Agency,Conway,AR
409,CITYOFFARMINGTON-AR.GOV,City,Non-Federal Agency,Farmington,AR
413,CITYOFGRAVETTE-AR.GOV,City,Non-Federal Agency,Gravette,AR
506,CLARKSVILLEAR.GOV,City,Non-Federal Agency,Clarksville,AR
569,CORNINGAR.GOV,City,Non-Federal Agency,Corning,AR
649,DEWITTAR.GOV,City,Non-Federal Agency,DeWitt,AR
758,EUREKASPRINGSAR.GOV,City,Non-Federal Agency,Eureka Springs,AR
783,FAYETTEVILLE-AR.GOV,City,Non-Federal Agency,Fayetteville,AR
784,FAYETTEVILLEFIRST-AR.GOV,City,Non-Federal Agency,Fayetteville,AR
812,FORTSMITHAR.GOV,City,Non-Federal Agency,Fort Smith,AR
1213,LITTLEROCKAR.GOV,City,Non-Federal Agency,Little Rock,AR
1249,LOWELLARKANSAS.GOV,City,Non-Federal Agency,Lowell,AR
1275,MALVERNAR.GOV,City,Non-Federal Agency,Malvern,AR
1630,PERMITTINGROGERSAR.GOV,City,Non-Federal Agency,Rogers,AR
1788,ROGERSAR.GOV,City,Non-Federal Agency,Rogers,AR
1934,SPRINGDALEAR.GOV,City,Non-Federal Agency,Springdale,AR
2028,TONTITOWNAR.GOV,City,Non-Federal Agency,Tontitown,AR
2238,WESTFORKAR.GOV,City,Non-Federal Agency,West Fork,AR
