,Domain Name,Domain Type,Agency,City,State
104,AVONDALEAZ.GOV,City,Non-Federal Agency,Avondale,AZ
158,BENSONAZ.GOV,City,Non-Federal Agency,Benson,AZ
183,BISBEEAZ.GOV,City,Non-Federal Agency,Bisbee,AZ
257,BUCKEYEAZ.GOV,City,Non-Federal Agency,Buckeye,AZ
260,BULLHEADCITYAZ.GOV,City,Non-Federal Agency,Bullhead City,AZ
312,CASAGRANDEAZ.GOV,City,Non-Federal Agency,Casa Grande,AZ
331,CGAZ.GOV,City,Non-Federal Agency,Casa Grande,AZ
337,CHANDLERAZ.GOV,City,Non-Federal Agency,Chandler,AZ
432,CITYOFKINGMAN.GOV,City,Non-Federal Agency,Kingman,AZ
468,CITYOFPHOENIX.GOV,City,Non-Federal Agency,Phoenix,AZ
479,CITYOFSAFFORDAZ.GOV,City,Non-Federal Agency,Safford,AZ
517,CLIFTONAZ.GOV,City,Non-Federal Agency,Clifton,AZ
583,COTTONWOODAZ.GOV,City,Non-Federal Agency,Cottonwood,AZ
651,DHAZ.GOV,City,Non-Federal Agency,Humboldt,AZ
662,DOUGLASAZ.GOV,City,Non-Federal Agency,Douglas,AZ
687,EAGARAZ.GOV,City,Non-Federal Agency,Eagar,AZ
734,ELMIRAGE-AZ.GOV,City,Non-Federal Agency,El Mirage,AZ
735,ELMIRAGEAZ.GOV,City,Non-Federal Agency,El Mirage,AZ
738,ELOYAZ.GOV,City,Non-Federal Agency,Eloy,AZ
795,FLAGSTAFFAZ.GOV,City,Non-Federal Agency,Flagstaff,AZ
799,FLORENCEAZ.GOV,City,Non-Federal Agency,Florence,AZ
873,GILBERTAZ.GOV,City,Non-Federal Agency,Gilbert,AZ
878,GLENDALEAZ.GOV,City,Non-Federal Agency,Glendale,AZ
884,GLOBEAZ.GOV,City,Non-Federal Agency,GLOBE,AZ
893,GOODYEARAZ.GOV,City,Non-Federal Agency,Goodyear,AZ
1036,HUACHUCACITYAZ.GOV,City,Non-Federal Agency,Huachuca City,AZ
1197,LHCAZ.GOV,City,Non-Federal Agency,Lake Havasu City,AZ
1299,MARANAAZ.GOV,City,Non-Federal Agency,Marana,AZ
1301,MARICOPA-AZ.GOV,City,Non-Federal Agency,Maricopa,AZ
1340,MESAAZ.GOV,City,Non-Federal Agency,Mesa,AZ
1344,MIAMIAZ.GOV,City,Non-Federal Agency,Miami,AZ
1510,NOGALESAZ.GOV,City,Non-Federal Agency,Nogales,AZ
1590,OROVALLEYAZ.GOV,City,Non-Federal Agency,Oro Valley,AZ
1601,PAGEAZ.GOV,City,Non-Federal Agency,Page,AZ
1609,PARADISEVALLEYAZ.GOV,City,Non-Federal Agency,Paradise Valley,AZ
1618,PATAGONIA-AZ.GOV,City,Non-Federal Agency,Patagonia,AZ
1622,PAYSONAZ.GOV,City,Non-Federal Agency,Payson,AZ
1628,PEORIAAZ.GOV,City,Non-Federal Agency,Peoria,AZ
1641,PHOENIX.GOV,City,Non-Federal Agency,Phoenix,AZ
1650,PINETOPLAKESIDEAZ.GOV,City,Non-Federal Agency,LAKESIDE,AZ
1703,PRESCOTT-AZ.GOV,City,Non-Federal Agency,Prescott,AZ
1704,PRESCOTTVALLEY-AZ.GOV,City,Non-Federal Agency,Prescott Valley,AZ
1814,SAFFORDAZ.GOV,City,Non-Federal Agency,Safford,AZ
1816,SAHUARITAAZ.GOV,City,Non-Federal Agency,Sahuarita,AZ
1853,SCOTTSDALEAZ.GOV,City,Non-Federal Agency,Scottsdale,AZ
1863,SEDONAAZ.GOV,City,Non-Federal Agency,Sedona,AZ
1882,SHOWLOWAZ.GOV,City,Non-Federal Agency,Show Low,AZ
1885,SIERRAVISTAAZ.GOV,City,Non-Federal Agency,Sierra Vista,AZ
1900,SNOWFLAKE-AZ.GOV,City,Non-Federal Agency,Snowflake,AZ
1909,SOMERTONAZ.GOV,City,Non-Federal Agency,Somerton,AZ
1935,SPRINGERVILLEAZ.GOV,City,Non-Federal Agency,Springerville,AZ
1959,STJOHNSAZ.GOV,City,Non-Federal Agency,St. Johns,AZ
1987,SUPERIORAZ.GOV,City,Non-Federal Agency,Superior,AZ
1991,SURPRISEAZ.GOV,City,Non-Federal Agency,Surprise,AZ
2010,TEMPE.GOV,City,Non-Federal Agency,Tempe,AZ
2046,TOWNOFHAYDENAZ.GOV,City,Non-Federal Agency,Hayden,AZ
2099,TUCSONAZ.GOV,City,Non-Federal Agency,Tucson,AZ
2106,TUSAYAN-AZ.GOV,City,Non-Federal Agency,Tusayan,AZ
2107,TUSAYANAZ.GOV,City,Non-Federal Agency,Grand Canyon,AZ
2276,WILLIAMSAZ.GOV,City,Non-Federal Agency,Williams,AZ
2300,WINSLOWAZ.GOV,City,Non-Federal Agency,Winslow,AZ
2325,YUMAAZ.GOV,City,Non-Federal Agency,Yuma,AZ
