,Domain Name,Domain Type,Agency,City,State
1,SANFRANCISCO.GOV,City,General Services Administration,San Francisco,CA
2,SF.GOV,City,General Services Administration,San Francisco,CA
19,ALAMEDACA.GOV,City,Non-Federal Agency,Alameda,CA
58,ANGELSCAMP.GOV,City,Non-Federal Agency,City of Angels Camp,CA
69,ARCADIACA.GOV,City,Non-Federal Agency,Arcadia,CA
107,BAKERSFIELD-CA.GOV,City,Non-Federal Agency,Bakersfield,CA
125,BEAUMONT-CA.GOV,City,Non-Federal Agency,Beaumont,CA
151,BELMONT.GOV,City,Non-Federal Agency,Belmont,CA
174,BEVERLYHILLS-CA.GOV,City,Non-Federal Agency,Beverly Hills,CA
175,BEVERLYHILLSCA.GOV,City,Non-Federal Agency,Beverly Hills,CA
179,BIGGS-CA.GOV,City,Non-Federal Agency,Biggs,CA
221,BRAWLEY-CA.GOV,City,Non-Federal Agency,Brawley,CA
226,BRENTWOODCA.GOV,City,Non-Federal Agency,Brentwood,CA
263,BURBANKCA.GOV,City,Non-Federal Agency,Burbank,CA
285,CALIFORNIACITY-CA.GOV,City,Non-Federal Agency,California City,CA
291,CAMPBELLCA.GOV,City,Non-Federal Agency,Campbell,CA
301,CARLSBADCA.GOV,City,Non-Federal Agency,Carlsbad,CA
315,CATHEDRALCITY.GOV,City,Non-Federal Agency,Cathedral City,CA
359,CHICOCA.GOV,City,Non-Federal Agency,Chico,CA
367,CHULAVISTACA.GOV,City,Non-Federal Agency,Chula Vista,CA
375,CITYOFALAMEDACA.GOV,City,Non-Federal Agency,Alameda,CA
400,CITYOFCUDAHYCA.GOV,City,Non-Federal Agency,Cudahy,CA
408,CITYOFFARMERSVILLE-CA.GOV,City,Non-Federal Agency,Farmersville,CA
419,CITYOFHAYWARD-CA.GOV,City,Non-Federal Agency,Hayward,CA
433,CITYOFKINGSBURG-CA.GOV,City,Non-Federal Agency,Kingsburg,CA
437,CITYOFLAHABRA-CA.GOV,City,Non-Federal Agency,LA HABRA,CA
472,CITYOFPLEASANTONCA.GOV,City,Non-Federal Agency,Pleasanton,CA
481,CITYOFSANTEECA.GOV,City,Non-Federal Agency,Santee,CA
491,CITYOFTORRANCECA.GOV,City,Non-Federal Agency,Torrance,CA
523,CMSDCA.GOV,City,Non-Federal Agency,Costa Mesa,CA
531,COLFAX-CA.GOV,City,Non-Federal Agency,Colfax,CA
541,COLTONCA.GOV,City,Non-Federal Agency,Colton,CA
571,CORONACA.GOV,City,Non-Federal Agency,Corona,CA
572,CORONADOCA.GOV,City,Non-Federal Agency,Coronado,CA
581,COSTAMESACA.GOV,City,Non-Federal Agency,Costa Mesa,CA
585,COVINACA.GOV,City,Non-Federal Agency,Covina,CA
652,DIAMONDBARCA.GOV,City,Non-Federal Agency,Diamond Bar,CA
666,DUBLIN-CA.GOV,City,Non-Federal Agency,Dublin,CA
667,DUBLINCA.GOV,City,Non-Federal Agency,Dublin,CA
708,EASTVALECA.GOV,City,Non-Federal Agency,Eastvale,CA
736,ELMONTECA.GOV,City,Non-Federal Agency,El Monte,CA
743,ENCINITASCA.GOV,City,Non-Federal Agency,Encinitas,CA
744,ENCINITASCALIFORNIA.GOV,City,Non-Federal Agency,Encinitas,CA
834,FREMONT.GOV,City,Non-Federal Agency,Fremont,CA
838,FRESNO.GOV,City,Non-Federal Agency,Fresno,CA
879,GLENDALECA.GOV,City,Non-Federal Agency,Glendale,CA
900,GRANDTERRACE-CA.GOV,City,Non-Federal Agency,Grand Terrace,CA
977,HAWTHORNECA.GOV,City,Non-Federal Agency,Hawthorne,CA
980,HAYWARD-CA.GOV,City,Non-Federal Agency,Hayward,CA
1034,HPCA.GOV,City,Non-Federal Agency,Huntington Park,CA
1041,HUNTINGTONBEACHCA.GOV,City,Non-Federal Agency,Huntington Beach,CA
1054,IMPERIALBEACHCA.GOV,City,Non-Federal Agency,Imperial Beach,CA
1072,IRWINDALECA.GOV,City,Non-Federal Agency,Irwindale,CA
1134,LAGUNAHILLSCA.GOV,City,Non-Federal Agency,Laguna Hills,CA
1135,LAHABRACA.GOV,City,Non-Federal Agency,LA HABRA,CA
1136,LAKEFORESTCA.GOV,City,Non-Federal Agency,Lake Forest,CA
1203,LINCOLNCA.GOV,City,Non-Federal Agency,Lincoln,CA
1217,LODI.GOV,City,Non-Federal Agency,Lodi,CA
1218,LODICA.GOV,City,Non-Federal Agency,Lodi,CA
1222,LOMALINDA-CA.GOV,City,Non-Federal Agency,Loma Linda,CA
1226,LONGBEACH.GOV,City,Non-Federal Agency,Long Beach,CA
1236,LOSALTOSCA.GOV,City,Non-Federal Agency,Los Altos,CA
1237,LOSGATOSCA.GOV,City,Non-Federal Agency,Los Gatos,CA
1266,MADERA-CA.GOV,City,Non-Federal Agency,Madera,CA
1274,MALIBU-CA.GOV,City,Non-Federal Agency,Malibu,CA
1394,MONTCLAIRCA.GOV,City,Non-Federal Agency,Montclair,CA
1404,MOORPARKCA.GOV,City,Non-Federal Agency,Moorpark,CA
1409,MORROBAYCA.GOV,City,Non-Federal Agency,Morro Bay,CA
1413,MOUNTAINHOUSECA.GOV,City,Non-Federal Agency,Mountain House,CA
1415,MOUNTAINVIEW.GOV,City,Non-Federal Agency,Mountain View,CA
1427,MTSHASTACA.GOV,City,Non-Federal Agency,Mt. Shasta,CA
1435,MURRIETACA.GOV,City,Non-Federal Agency,Murrieta,CA
1438,MVPD.GOV,City,Non-Federal Agency,Mountain View,CA
1444,NAPA-CA.GOV,City,Non-Federal Agency,Napa,CA
1452,NATIONALCITYCA.GOV,City,Non-Federal Agency,National City,CA
1456,NBCA.GOV,City,Non-Federal Agency,Newport Beach,CA
1459,NEVADACITYCA.GOV,City,Non-Federal Agency,Nevada City,CA
1486,NEWPORTBEACH-CA.GOV,City,Non-Federal Agency,Newport Beach,CA
1487,NEWPORTBEACHCA.GOV,City,Non-Federal Agency,Newport Beach,CA
1547,NORWALKCA.GOV,City,Non-Federal Agency,Norwalk,CA
1561,OAKLANDCA.GOV,City,Non-Federal Agency,Oakland,CA
1583,ONTARIOCA.GOV,City,Non-Federal Agency,Ontario,CA
1593,OTAYWATER.GOV,City,Non-Federal Agency,Spring Valley,CA
1604,PALMSPRINGS-CA.GOV,City,Non-Federal Agency,Palm Springs,CA
1605,PALMSPRINGSCA.GOV,City,Non-Federal Agency,Palm Springs,CA
1606,PALOALTO-CA.GOV,City,Non-Federal Agency,Palo Alto,CA
1615,PASADENACA.GOV,City,Non-Federal Agency,Pasadena,CA
1653,PITTSBURGCA.GOV,City,Non-Federal Agency,PITTSBURG,CA
1661,PLEASANTONCA.GOV,City,Non-Federal Agency,Pleasanton,CA
1689,PORTERVILLE-CA.GOV,City,Non-Federal Agency,Porterville,CA
1690,PORTERVILLECA.GOV,City,Non-Federal Agency,Porterville,CA
1720,RANCHOMIRAGECA.GOV,City,Non-Federal Agency,Rancho Mirage,CA
1736,REDDING-CA.GOV,City,Non-Federal Agency,Redding,CA
1748,RIALTOCA.GOV,City,Non-Federal Agency,Rialto,CA
1760,RIDGECREST-CA.GOV,City,Non-Federal Agency,Ridgecrest,CA
1767,RIVERSIDECA.GOV,City,Non-Federal Agency,Riverside,CA
1791,ROLLINGHILLSESTATES-CA.GOV,City,Non-Federal Agency,Rolling Hills Estates,CA
1792,ROLLINGHILLSESTATESCA.GOV,City,Non-Federal Agency,Rolling Hills Estates,CA
1805,RPVCA.GOV,City,Non-Federal Agency,Rancho Palos Verdes,CA
1825,SANDIEGO.GOV,City,Non-Federal Agency,San Diego,CA
1828,SANJOSECA.GOV,City,Non-Federal Agency,San Jose,CA
1831,SANMARINOCA.GOV,City,Non-Federal Agency,San Marino,CA
1832,SANNET.GOV,City,Non-Federal Agency,San Diego,CA
1833,SANPABLOCA.GOV,City,Non-Federal Agency,San Pablo,CA
1834,SANTABARBARACA.GOV,City,Non-Federal Agency,Santa Barbara,CA
1835,SANTACLARACA.GOV,City,Non-Federal Agency,Santa Clara,CA
1836,SANTACLARITACA.GOV,City,Non-Federal Agency,Santa Clarita,CA
1838,SANTAMONICACA.GOV,City,Non-Federal Agency,Santa Monica,CA
1847,SBMTD.GOV,City,Non-Federal Agency,Santa Barbara,CA
1857,SEALBEACHCA.GOV,City,Non-Federal Agency,Seal Beach,CA
1875,SHELTERCOVE-CA.GOV,City,Non-Federal Agency,Whitethorn,CA
1927,SOUTHPASADENACA.GOV,City,Non-Federal Agency,South Pasadena,CA
1966,STOCKTONCA.GOV,City,Non-Federal Agency,Stockton,CA
2009,TEMECULACA.GOV,City,Non-Federal Agency,Temecula,CA
2030,TORRANCECA.GOV,City,Non-Federal Agency,Torrance,CA
2125,UPLANDCA.GOV,City,Non-Federal Agency,UPLAND,CA
2144,VICTORVILLECA.GOV,City,Non-Federal Agency,Victorville,CA
2245,WESTMINSTER-CA.GOV,City,Non-Federal Agency,Westminster,CA
