,Domain Name,Domain Type,Agency,City,State
207,BOULDER-CO.GOV,City,Non-Federal Agency,Boulder,CO
208,BOULDERCOLORADO.GOV,City,Non-Federal Agency,Boulder,CO
215,BOWMAR.GOV,City,Non-Federal Agency,Bow Mar,CO
237,BRIGHTONCO.GOV,City,Non-Federal Agency,Brighton,CO
259,BUENAVISTACO.GOV,City,Non-Federal Agency,Buena Vista,CO
324,CENTENNIALCO.GOV,City,Non-Federal Agency,Centennial,CO
325,CENTERCO.GOV,City,Non-Federal Agency,Center,CO
416,CITYOFGUNNISON-CO.GOV,City,Non-Federal Agency,Gunnison,CO
423,CITYOFHOLYOKE-CO.GOV,City,Non-Federal Agency,Holyoke,CO
539,COLORADOSPRINGS.GOV,City,Non-Federal Agency,Colorado Springs,CO
580,COSPRINGS.GOV,City,Non-Federal Agency,Colorado Springs,CO
640,DELTA-CO.GOV,City,Non-Federal Agency,Delta,CO
644,DENVERCO.GOV,City,Non-Federal Agency,Denver,CO
746,ENGLEWOODCO.GOV,City,Non-Federal Agency,Englewood,CO
750,ERIECO.GOV,City,Non-Federal Agency,Erie,CO
759,EVANSCOLORADO.GOV,City,Non-Federal Agency,Evans,CO
790,FIRESTONECO.GOV,City,Non-Federal Agency,Firestone,CO
806,FORTCOLLINS-CO.GOV,City,Non-Federal Agency,Fort Collins,CO
807,FORTLUPTON-CO.GOV,City,Non-Federal Agency,Fort Lupton,CO
808,FORTLUPTONCO.GOV,City,Non-Federal Agency,Fort Lupton,CO
828,FREDERICKCO.GOV,City,Non-Federal Agency,Frederick,CO
883,GLENWOODSPRINGSCO.GOV,City,Non-Federal Agency,Glenwood Springs,CO
935,GUNNISONCO.GOV,City,Non-Federal Agency,Gunnison,CO
939,GWSCO.GOV,City,Non-Federal Agency,Glenwood Springs,CO
1171,LEADVILLE-CO.GOV,City,Non-Federal Agency,Leadville,CO
1219,LOGANCO.GOV,City,Non-Federal Agency,Sterling,CO
1231,LONGMONTCOLORADO.GOV,City,Non-Federal Agency,Longmont,CO
1242,LOUISVILLECO.GOV,City,Non-Federal Agency,Louisville,CO
1368,MILLIKENCO.GOV,City,Non-Federal Agency,Milliken,CO
1369,MILLIKENCOLORADO.GOV,City,Non-Federal Agency,Milliken,CO
1424,MTCRESTEDBUTTE-CO.GOV,City,Non-Federal Agency,Mt. Crested Butte,CO
1723,RANGELY-CO.GOV,City,Non-Federal Agency,Rangely,CO
1724,RANGELYCO.GOV,City,Non-Federal Agency,Rangely,CO
1988,SUPERIORCOLORADO.GOV,City,Non-Federal Agency,Superior,CO
2008,TELLURIDE-CO.GOV,City,Non-Federal Agency,Telluride,CO
2054,TOWNOFLAVETA-CO.GOV,City,Non-Federal Agency,La Veta,CO
2222,WELLINGTONCOLORADO.GOV,City,Non-Federal Agency,Wellington,CO
