,Domain Name,Domain Type,Agency,City,State
103,AVONCT.GOV,City,Non-Federal Agency,Avon,CT
171,BETHEL-CT.GOV,City,Non-Federal Agency,Bethel,CT
219,BRANFORD-CT.GOV,City,Non-Federal Agency,Branford,CT
233,BRIDGEPORTCT.GOV,City,Non-Federal Agency,Bridgeport,CT
239,BRISTOLCT.GOV,City,Non-Federal Agency,Bristol,CT
244,BROOKFIELDCT.GOV,City,Non-Federal Agency,Brookfield,CT
414,CITYOFGROTON-CT.GOV,City,Non-Federal Agency,Groton,CT
527,COLCHESTERCT.GOV,City,Non-Federal Agency,Colchester,CT
615,DANBURY-CT.GOV,City,Non-Federal Agency,Danbury,CT
621,DARIENCT.GOV,City,Non-Federal Agency,Darien,CT
645,DERBYCT.GOV,City,Non-Federal Agency,Derby,CT
692,EASTHAMPTONCT.GOV,City,Non-Federal Agency,East Hampton,CT
695,EASTHARTFORDCT.GOV,City,Non-Federal Agency,East Hartford,CT
701,EASTONCT.GOV,City,Non-Federal Agency,Easton,CT
709,EASTWINDSOR-CT.GOV,City,Non-Federal Agency,Broad Brook,CT
723,EHALERTCT.GOV,City,Non-Federal Agency,East Hartford,CT
732,ELLINGTON-CT.GOV,City,Non-Federal Agency,Ellington,CT
745,ENFIELD-CT.GOV,City,Non-Federal Agency,Enfield,CT
752,ESSEXCT.GOV,City,Non-Federal Agency,Essex,CT
876,GLASTONBURY-CT.GOV,City,Non-Federal Agency,Glastonbury,CT
895,GOSHENCT.GOV,City,Non-Federal Agency,Goshen,CT
898,GRANBY-CT.GOV,City,Non-Federal Agency,Granby,CT
927,GROTON-CT.GOV,City,Non-Federal Agency,Groton,CT
971,HARTFORD.GOV,City,Non-Federal Agency,Hartford,CT
1112,KILLINGLYCT.GOV,City,Non-Federal Agency,Danielson,CT
1175,LEBANONCT.GOV,City,Non-Federal Agency,Lebanon,CT
1257,LYMECT.GOV,City,Non-Federal Agency,Lyme,CT
1283,MANCHESTERCT.GOV,City,Non-Federal Agency,Manchester,CT
1291,MANSFIELDCT.GOV,City,Non-Federal Agency,Mansfield,CT
1338,MERIDENCT.GOV,City,Non-Federal Agency,Meriden,CT
1355,MIDDLETOWN-CT.GOV,City,Non-Federal Agency,Middletown,CT
1356,MIDDLETOWNCT.GOV,City,Non-Federal Agency,Middletown,CT
1365,MILFORD-CT.GOV,City,Non-Federal Agency,Milford,CT
1453,NAUGATUCK-CT.GOV,City,Non-Federal Agency,Naugatuck,CT
1467,NEWBRITAINCT.GOV,City,Non-Federal Agency,New Britain,CT
1470,NEWCANAANCT.GOV,City,Non-Federal Agency,New Canaan,CT
1476,NEWHAVENCT.GOV,City,Non-Federal Agency,New Haven,CT
1479,NEWINGTONCT.GOV,City,Non-Federal Agency,Newington,CT
1496,NEWTOWN-CT.GOV,City,Non-Federal Agency,Newtown,CT
1536,NORTHHAVEN-CT.GOV,City,Non-Federal Agency,North Haven,CT
1543,NORTHSTONINGTONCT.GOV,City,Non-Federal Agency,North Stonington,CT
1577,OLDLYME-CT.GOV,City,Non-Federal Agency,Old Lyme,CT
1578,OLDSAYBROOKCT.GOV,City,Non-Federal Agency,Old Saybrook,CT
1586,ORANGE-CT.GOV,City,Non-Federal Agency,Orange,CT
1597,OXFORD-CT.GOV,City,Non-Federal Agency,Oxford,CT
1674,POMFRETCT.GOV,City,Non-Federal Agency,Pomfret Center,CT
1786,ROCKYHILLCT.GOV,City,Non-Federal Agency,Rocky Hill,CT
1819,SALEMCT.GOV,City,Non-Federal Agency,Salem,CT
1889,SIMSBURY-CT.GOV,City,Non-Federal Agency,Simsbury,CT
1907,SOMERSCT.GOV,City,Non-Federal Agency,Somers,CT
1920,SOUTHBURY-CT.GOV,City,Non-Federal Agency,Southbury,CT
1946,STAMFORDCT.GOV,City,Non-Federal Agency,Stamford,CT
1968,STONINGTON-CT.GOV,City,Non-Federal Agency,Stonington,CT
2032,TORRINGTON-CT.GOV,City,Non-Federal Agency,Torrington,CT
2095,TRUMBULL-CT.GOV,City,Non-Federal Agency,Trumbull,CT
2138,VERNON-CT.GOV,City,Non-Federal Agency,Vernon,CT
2174,VOLUNTOWN.GOV,City,Non-Federal Agency,Voluntown,CT
2183,WALLINGFORDCT.GOV,City,Non-Federal Agency,Wallingford,CT
2240,WESTHARTFORDCT.GOV,City,Non-Federal Agency,West Hartford,CT
2241,WESTHAVEN-CT.GOV,City,Non-Federal Agency,West Haven,CT
2249,WESTONCT.GOV,City,Non-Federal Agency,Weston,CT
2253,WESTPORTCT.GOV,City,Non-Federal Agency,Westport,CT
2261,WETHERSFIELDCT.GOV,City,Non-Federal Agency,Wethersfield,CT
2282,WILLINGTONCT.GOV,City,Non-Federal Agency,Willington,CT
2307,WOODSTOCKCT.GOV,City,Non-Federal Agency,Woodstock,CT
