,Domain Name,Domain Type,Agency,City,State
68,ARCADIA-FL.GOV,City,Non-Federal Agency,Arcadia,FL
91,ATLANTISFL.GOV,City,Non-Federal Agency,Atlantis,FL
108,BALHARBOURFL.GOV,City,Non-Federal Agency,Bal Harbour,FL
144,BELLEAIRBLUFFS-FL.GOV,City,Non-Federal Agency,Belleair Bluffs,FL
184,BISCAYNEPARKFL.GOV,City,Non-Federal Agency,Biscayne Park,FL
197,BOCARATON-FL.GOV,City,Non-Federal Agency,Boca Raton,FL
299,CAPECORALFL.GOV,City,Non-Federal Agency,Cape Coral,FL
431,CITYOFKEYWEST-FL.GOV,City,Non-Federal Agency,Key West,FL
482,CITYOFSARASOTAFL.GOV,City,Non-Federal Agency,Sarasota,FL
488,CITYOFSUNRISEFL.GOV,City,Non-Federal Agency,Sunrise,FL
489,CITYOFSUNRISEFLORIDA.GOV,City,Non-Federal Agency,Sunrise,FL
515,CLEWISTON-FL.GOV,City,Non-Federal Agency,Clewiston,FL
566,CORALGABLES-FL.GOV,City,Non-Federal Agency,Coral Gables,FL
567,CORALGABLESFL.GOV,City,Non-Federal Agency,Coral Gables,FL
605,CUTLERBAY-FL.GOV,City,Non-Federal Agency,Cutler Bay,FL
617,DANIABEACHFL.GOV,City,Non-Federal Agency,DANIA BEACH,FL
624,DAVIE-FL.GOV,City,Non-Federal Agency,Davie,FL
633,DEERFIELDBEACHFL.GOV,City,Non-Federal Agency,Deerfield Beach,FL
639,DELRAYBEACHFL.GOV,City,Non-Federal Agency,Delray Beach,FL
642,DELTONAFL.GOV,City,Non-Federal Agency,Deltona,FL
660,DORAL-FL.GOV,City,Non-Federal Agency,Doral,FL
661,DORALPD-FL.GOV,City,Non-Federal Agency,Doral,FL
716,EDGEWATERFL.GOV,City,Non-Federal Agency,Edgewater,FL
717,EDGEWOOD-FL.GOV,City,Non-Federal Agency,Edgewood,FL
753,ESTERO-FL.GOV,City,Non-Federal Agency,Estero,FL
801,FLORIDACITYFL.GOV,City,Non-Federal Agency,Florida City,FL
811,FORTMYERSBEACHFL.GOV,City,Non-Federal Agency,Fort Myers Beach,FL
931,GROVELAND-FL.GOV,City,Non-Federal Agency,Groveland,FL
932,GULFBREEZEFL.GOV,City,Non-Federal Agency,Gulf Breeze,FL
943,HALLANDALEBEACHFL.GOV,City,Non-Federal Agency,hallandale beach,FL
995,HIALEAHFL.GOV,City,Non-Federal Agency,Hialeah,FL
1065,INTERLACHEN-FL.GOV,City,Non-Federal Agency,Interlachen,FL
1066,INVERNESS-FL.GOV,City,Non-Federal Agency,Inverness,FL
1121,KISSIMMEEFL.GOV,City,Non-Federal Agency,Kissimmee,FL
1162,LAUDERDALEBYTHESEA-FL.GOV,City,Non-Federal Agency,Lauderdale By The Sea,FL
1163,LAUDERHILL-FL.GOV,City,Non-Federal Agency,Lauderhill,FL
1164,LAUDERHILLFL.GOV,City,Non-Federal Agency,Lauderhill,FL
1170,LBTS-FL.GOV,City,Non-Federal Agency,Lauderdale-By-The-Sea,FL
1180,LEESBURGFLORIDA.GOV,City,Non-Federal Agency,Leesburg,FL
1265,MADEIRABEACHFL.GOV,City,Non-Federal Agency,Madeira Beach,FL
1345,MIAMIBEACHFL.GOV,City,Non-Federal Agency,Miami Beach,FL
1346,MIAMIGARDENS-FL.GOV,City,Non-Federal Agency,Miami Gardens,FL
1347,MIAMILAKES-FL.GOV,City,Non-Federal Agency,Miami Lakes,FL
1348,MIAMISPRINGS-FL.GOV,City,Non-Federal Agency,Miami Springs,FL
1382,MIRAMARFL.GOV,City,Non-Federal Agency,Miramar,FL
1423,MSVFL.GOV,City,Non-Federal Agency,Miami Shores,FL
1441,MYDELRAYBEACHFL.GOV,City,Non-Federal Agency,Delray Beach,FL
1553,NSIDFL.GOV,City,Non-Federal Agency,Coral Springs,FL
1562,OAKLANDFL.GOV,City,Non-Federal Agency,Oakland,FL
1563,OAKLANDPARKFL.GOV,City,Non-Federal Agency,Oakland Park,FL
1584,OPALOCKAFL.GOV,City,Non-Federal Agency,OPALOCKA,FL
1587,ORLANDOFL.GOV,City,Non-Federal Agency,Orlando,FL
1588,ORMONDBEACH-FL.GOV,City,Non-Federal Agency,Ormond Beach,FL
1602,PALATKA-FL.GOV,City,Non-Federal Agency,Palatka,FL
1603,PALMETTOBAY-FL.GOV,City,Non-Federal Agency,Palmetto Bay,FL
1621,PAXTONFL.GOV,City,Non-Federal Agency,Laurel Hill,FL
1675,POMPANOBEACHFL.GOV,City,Non-Federal Agency,Pompano Beach,FL
1827,SANFORDFL.GOV,City,Non-Federal Agency,Sanford,FL
1840,SARASOTAFL.GOV,City,Non-Federal Agency,Sarasota,FL
1858,SEARANCHLAKESFLORIDA.GOV,City,Non-Federal Agency,Sea Ranch Lakes,FL
1924,SOUTHMIAMIFL.GOV,City,Non-Federal Agency,South Miami,FL
1961,STLUCIECO.GOV,City,Non-Federal Agency,Ft. Pierce,FL
1970,STPETE-FL.GOV,City,Non-Federal Agency,St. Petersburg,FL
2000,TAMPAFL.GOV,City,Non-Federal Agency,Tampa,FL
2038,TOWNOFCALLAHAN-FL.GOV,City,Non-Federal Agency,Callahan,FL
2045,TOWNOFHAVERHILL-FL.GOV,City,Non-Federal Agency,Haverhill,FL
2071,TOWNOFSTLEO-FL.GOV,City,Non-Federal Agency,Saint Leo,FL
2072,TOWNOFSURFSIDEFL.GOV,City,Non-Federal Agency,Surfside,FL
2172,VIRGINIAGARDENS-FL.GOV,City,Non-Federal Agency,Virginia Gardens,FL
2219,WELAKA-FL.GOV,City,Non-Federal Agency,Welaka,FL
2223,WELLINGTONFL.GOV,City,Non-Federal Agency,Wellington,FL
2250,WESTONFL.GOV,City,Non-Federal Agency,Weston,FL
2272,WILDWOOD-FL.GOV,City,Non-Federal Agency,Wildwood,FL
2283,WILLISTONFL.GOV,City,Non-Federal Agency,Williston,FL
