,Domain Name,Domain Type,Agency,City,State
46,AMERICUSGA.GOV,City,Non-Federal Agency,Americus,GA
90,ATLANTAGA.GOV,City,Non-Federal Agency,Atlanta,GA
100,AUSTELLGA.GOV,City,Non-Federal Agency,Austell,GA
189,BLAIRSVILLE-GA.GOV,City,Non-Federal Agency,Blairsville,GA
193,BLOOMINGDALE-GA.GOV,City,Non-Federal Agency,Bloomingdale,GA
223,BREMENGA.GOV,City,Non-Federal Agency,Bremen,GA
246,BROOKHAVENGA.GOV,City,Non-Federal Agency,Dunwoody,GA
306,CARROLLTON-GA.GOV,City,Non-Federal Agency,Carrollton,GA
308,CARTERSVILLEGA.GOV,City,Non-Federal Agency,Cartersville,GA
322,CEDARTOWNGEORGIA.GOV,City,Non-Federal Agency,Cedartown,GA
334,CHAMBLEEGA.GOV,City,Non-Federal Agency,Chamblee,GA
346,CHATSWORTHGA.GOV,City,Non-Federal Agency,Chatsworth,GA
379,CITYOFALMAGA.GOV,City,Non-Federal Agency,Alma,GA
384,CITYOFBLUERIDGEGA.GOV,City,Non-Federal Agency,Blue Ridge,GA
386,CITYOFBOWMANGA.GOV,City,Non-Federal Agency,Bowman,GA
387,CITYOFBRUNSWICK-GA.GOV,City,Non-Federal Agency,Brunswick,GA
395,CITYOFCLAYTONGA.GOV,City,Non-Federal Agency,Clayton,GA
401,CITYOFDALTON-GA.GOV,City,Non-Federal Agency,Dalton,GA
402,CITYOFDOUGLASGA.GOV,City,Non-Federal Agency,Douglas,GA
410,CITYOFFOLKSTON-GA.GOV,City,Non-Federal Agency,Folkston,GA
417,CITYOFHAMPTON-GA.GOV,City,Non-Federal Agency,Hampton,GA
421,CITYOFHIRAMGA.GOV,City,Non-Federal Agency,HIRAM,GA
446,CITYOFMCCAYSVILLEGA.GOV,City,Non-Federal Agency,McCaysville,GA
450,CITYOFMILLENGA.GOV,City,Non-Federal Agency,Millen,GA
452,CITYOFMORROWGA.GOV,City,Non-Federal Agency,Morrow,GA
487,CITYOFSTOCKBRIDGE-GA.GOV,City,Non-Federal Agency,Stockbridge,GA
495,CITYOFWASHINGTONGA.GOV,City,Non-Federal Agency,Washington,GA
500,CITYOFWOODBURYGA.GOV,City,Non-Federal Agency,Woodbury,GA
