,Domain Name,Domain Type,Agency,City,State
59,ANKENYIOWA.GOV,City,Non-Federal Agency,Ankeny,IA
148,BELLEVUEIA.GOV,City,Non-Federal Agency,Bellevue,IA
307,CARTERLAKE-IA.GOV,City,Non-Federal Agency,Carter Lake,IA
321,CEDARRAPIDS-IA.GOV,City,Non-Federal Agency,Cedar Rapids,IA
442,CITYOFLISBON-IA.GOV,City,Non-Federal Agency,Lisbon,IA
453,CITYOFMTVERNON-IA.GOV,City,Non-Federal Agency,Mount Vernon,IA
592,CRESTONIOWA.GOV,City,Non-Federal Agency,Creston,IA
809,FORTMADISON-IA.GOV,City,Non-Federal Agency,Fort Madison,IA
902,GRANGERIOWA.GOV,City,Non-Federal Agency,Granger,IA
926,GRIMESIOWA.GOV,City,Non-Federal Agency,Grimes,IA
1060,INDIANOLAIOWA.GOV,City,Non-Federal Agency,Indianola,IA
1125,KNOXVILLEIA.GOV,City,Non-Federal Agency,Knoxville,IA
1126,KNOXVILLEIOWA.GOV,City,Non-Federal Agency,Knoxville,IA
1178,LECLAIREIOWA.GOV,City,Non-Federal Agency,LECLAIRE,IA
1270,MAHARISHIVEDICCITY-IOWA.GOV,City,Non-Federal Agency,Maharishi Vedic City,IA
1436,MUSCATINEIOWA.GOV,City,Non-Federal Agency,Muscatine,IA
1673,POLKCITYIA.GOV,City,Non-Federal Agency,Polk City,IA
2134,VANMETERIA.GOV,City,Non-Federal Agency,Van Meter,IA
2277,WILLIAMSBURGIOWA.GOV,City,Non-Federal Agency,Williamsburg,IA
