,Domain Name,Domain Type,Agency,City,State
63,ANTIOCHTOWNSHIPIL.GOV,City,Non-Federal Agency,Lake Villa,IL
78,ARTHUR-IL.GOV,City,Non-Federal Agency,Arthur,IL
112,BARRINGTON-IL.GOV,City,Non-Federal Agency,Barrington,IL
113,BARRINGTONHILLS-IL.GOV,City,Non-Federal Agency,Barrington Hills,IL
132,BECKEMEYERIL.GOV,City,Non-Federal Agency,Beckemeyer,IL
160,BENTONIL.GOV,City,Non-Federal Agency,Benton,IL
168,BERWYN-IL.GOV,City,Non-Federal Agency,Berwyn,IL
235,BRIDGEVIEW-IL.GOV,City,Non-Federal Agency,Bridgeview,IL
241,BROADVIEW-IL.GOV,City,Non-Federal Agency,Broadview,IL
245,BROOKFIELDIL.GOV,City,Non-Federal Agency,Brookfield ,IL
264,BURBANKIL.GOV,City,Non-Federal Agency,Burbank,IL
275,BURR-RIDGE.GOV,City,Non-Federal Agency,Burr Ridge,IL
335,CHAMPAIGN-IL.GOV,City,Non-Federal Agency,Champaign,IL
336,CHAMPAIGNIL.GOV,City,Non-Federal Agency,Champaign,IL
358,CHICAGO-IL.GOV,City,Non-Federal Agency,Chicago,IL
372,CITYKANKAKEE-IL.GOV,City,Non-Federal Agency,KANKAKEE,IL
391,CITYOFCHAMPAIGN-IL.GOV,City,Non-Federal Agency,Champaign,IL
392,CITYOFCHAMPAIGNIL.GOV,City,Non-Federal Agency,Champaign,IL
444,CITYOFMARIONIL.GOV,City,Non-Federal Agency,Marion,IL
499,CITYOFWHEATON-IL.GOV,City,Non-Federal Agency,Wheaton,IL
524,COALCITY-IL.GOV,City,Non-Federal Agency,Coal City,IL
599,CUBAASSESSORIL.GOV,City,Non-Federal Agency,Barrington,IL
600,CUBATWPIL.GOV,City,Non-Federal Agency,Barrington,IL
622,DARIENIL.GOV,City,Non-Federal Agency,Darien,IL
629,DECATURIL.GOV,City,Non-Federal Agency,Decatur,IL
630,DECATURILLINOIS.GOV,City,Non-Federal Agency,Decatur,IL
805,FORSYTH-IL.GOV,City,Non-Federal Agency,Forsyth,IL
851,GALESBURG-IL.GOV,City,Non-Federal Agency,Galesburg,IL
856,GALVAIL.GOV,City,Non-Federal Agency,Galva,IL
905,GRANTFORKIL.GOV,City,Non-Federal Agency,Highland,IL
994,HEYWORTH-IL.GOV,City,Non-Federal Agency,Heyworth,IL
1001,HIGHLANDIL.GOV,City,Non-Federal Agency,Highland,IL
1018,HOMERGLENIL.GOV,City,Non-Federal Agency,Homer Glen,IL
1019,HOMEWOODIL.GOV,City,Non-Federal Agency,Homewood,IL
1021,HOOPESTON-IL.GOV,City,Non-Federal Agency,Hoopeston,IL
1026,HOPKINSPARK-IL.GOV,City,Non-Federal Agency,Hopkins Park,IL
1059,INDIANHEADPARK-IL.GOV,City,Non-Federal Agency,Indian Head Park,IL
1067,INVERNESS-IL.GOV,City,Non-Federal Agency,Inverness,IL
1159,LASALLE-IL.GOV,City,Non-Federal Agency,LaSalle,IL
1204,LINCOLNIL.GOV,City,Non-Federal Agency,Lincoln,IL
1205,LINCOLNSHIREIL.GOV,City,Non-Federal Agency,Lincolnshire,IL
1248,LOVINGTON-IL.GOV,City,Non-Federal Agency,Lovington,IL
1263,LYONSTOWNSHIPIL.GOV,City,Non-Federal Agency,Countryside,IL
1271,MAHOMET-IL.GOV,City,Non-Federal Agency,Mahomet,IL
1309,MAROAILLINOIS.GOV,City,Non-Federal Agency,Maroa,IL
1310,MARSHALL-IL.GOV,City,Non-Federal Agency,Marshall,IL
1410,MORTON-IL.GOV,City,Non-Federal Agency,Morton,IL
1420,MOUNTPROSPECT-IL.GOV,City,Non-Federal Agency,Mount Prospect,IL
