,Domain Name,Domain Type,Agency,City,State
92,ATTICA-IN.GOV,City,Non-Federal Agency,Attica,IN
210,BOURBON-IN.GOV,City,Non-Federal Agency,Bremen,IN
273,BURNSHARBOR-IN.GOV,City,Non-Federal Agency,Burns Harbor,IN
286,CALUMETTWP-IN.GOV,City,Non-Federal Agency,Gary,IN
438,CITYOFLAPORTEIN.GOV,City,Non-Federal Agency,La Porte,IN
478,CITYOFROCKPORT-IN.GOV,City,Non-Federal Agency,Rockport,IN
558,CONNERSVILLEIN.GOV,City,Non-Federal Agency,Connersville,IN
578,CORYDON-IN.GOV,City,Non-Federal Agency,Corydon,IN
590,CRAWFORDSVILLE-IN.GOV,City,Non-Federal Agency,Crawfordsville,IN
820,FRANKFORT-IN.GOV,City,Non-Federal Agency,Frankfort,IN
901,GRANDVIEW-IN.GOV,City,Non-Federal Agency,Grandview,IN
1040,HUNTINGBURG-IN.GOV,City,Non-Federal Agency,Huntingburg,IN
1058,INDIANAPOLIS-IN.GOV,City,Non-Federal Agency,Indianapolis,IN
1063,INDY.GOV,City,Non-Federal Agency,Indianapolis,IN
1145,LAKESTATION-IN.GOV,City,Non-Federal Agency,Lake Station,IN
1199,LIBERTYIN.GOV,City,Non-Federal Agency,Liberty,IN
1210,LINTON-IN.GOV,City,Non-Federal Agency,Linton,IN
1267,MADISON-IN.GOV,City,Non-Federal Agency,Madison,IN
1387,MITCHELL-IN.GOV,City,Non-Federal Agency,Mitchell,IN
1400,MONTICELLOIN.GOV,City,Non-Federal Agency,Monticello,IN
1468,NEWBURGH-IN.GOV,City,Non-Federal Agency,Newburgh,IN
1475,NEWHARMONY-IN.GOV,City,Non-Federal Agency,New Harmony,IN
1545,NORTHVERNON-IN.GOV,City,Non-Federal Agency,North Vernon,IN
1632,PERRYTOWNSHIP-IN.GOV,City,Non-Federal Agency,Indianapolis,IN
1755,RICHMONDINDIANA.GOV,City,Non-Federal Agency,Richmond,IN
1782,ROCKVILLE-IN.GOV,City,Non-Federal Agency,Rockville,IN
1867,SELLERSBURG-IN.GOV,City,Non-Federal Agency,Sellersburg,IN
1917,SOUTHBENDIN.GOV,City,Non-Federal Agency,South Bend,IN
1929,SPEEDWAYIN.GOV,City,Non-Federal Agency,Speedway,IN
2047,TOWNOFHOMECROFTIN.GOV,City,Non-Federal Agency,Indianapolis,IN
2084,TRICOUNTYCONSERVANCY-IN.GOV,City,Non-Federal Agency,Plainfield,IN
2118,UNIONCITY-IN.GOV,City,Non-Federal Agency,Union City,IN
2186,WANATAH-IN.GOV,City,Non-Federal Agency,Wanatah,IN
2204,WATERLOOIN.GOV,City,Non-Federal Agency,Waterloo,IN
2290,WINCHESTER-IN.GOV,City,Non-Federal Agency,Winchester,IN
