,Domain Name,Domain Type,Agency,City,State
72,ARKANSASCITYKS.GOV,City,Non-Federal Agency,Arkansas City,KS
140,BELAIREKS.GOV,City,Non-Federal Agency,Bel Aire,KS
268,BURLINGTONKANSAS.GOV,City,Non-Federal Agency,Burlington,KS
405,CITYOFEUDORAKS.GOV,City,Non-Federal Agency,Eudora,KS
439,CITYOFLENEXA-KS.GOV,City,Non-Federal Agency,Lenexa,KS
440,CITYOFLENEXAKS.GOV,City,Non-Federal Agency,Lenexa,KS
470,CITYOFPLAINVILLE-KS.GOV,City,Non-Federal Agency,Plainville,KS
690,EASTBOROUGH-KS.GOV,City,Non-Federal Agency,Eastborough,KS
742,EMPORIA-KANSAS.GOV,City,Non-Federal Agency,Emporia,KS
849,GALENAKS.GOV,City,Non-Federal Agency,GALENA,KS
859,GARDNERKANSAS.GOV,City,Non-Federal Agency,Gardner,KS
875,GIRARDKANSAS.GOV,City,Non-Federal Agency,Girard,KS
886,GODDARDKS.GOV,City,Non-Federal Agency,Goddard,KS
961,HARPERCOUNTYKS.GOV,City,Non-Federal Agency,Anthony,KS
1055,INDEPENDENCEKS.GOV,City,Non-Federal Agency,INDEPENDENCE,KS
1098,JUNCTIONCITY-KS.GOV,City,Non-Federal Agency,Junction City,KS
1184,LENEXA-KS.GOV,City,Non-Federal Agency,Lenexa,KS
1241,LOUISBURGKANSAS.GOV,City,Non-Federal Agency,Louisburg,KS
1260,LYNDONKS.GOV,City,Non-Federal Agency,Lyndon,KS
1383,MISSIONHILLSKS.GOV,City,Non-Federal Agency,Mission Hills,KS
1568,OBERLINKANSAS.GOV,City,Non-Federal Agency,Oberlin,KS
1576,OGDEN-KS.GOV,City,Non-Federal Agency,Ogden ,KS
1596,OTTAWAKS.GOV,City,Non-Federal Agency,Ottawa,KS
1620,PAWNEEROCK-KS.GOV,City,Non-Federal Agency,Pawnee Rock,KS
1941,SPRINGHILLKS.GOV,City,Non-Federal Agency,Spring Hill,KS
1994,SYRACUSEKS.GOV,City,Non-Federal Agency,Syracuse,KS
2269,WICHITA.GOV,City,Non-Federal Agency,Wichita,KS
