,Domain Name,Domain Type,Agency,City,State
85,ASHLANDKY.GOV,City,Non-Federal Agency,Ashland,KY
146,BELLEMEADE-KY.GOV,City,Non-Federal Agency,Louisville,KY
161,BEREAKY.GOV,City,Non-Federal Agency,Berea,KY
214,BOWLINGGREENKY.GOV,City,Non-Federal Agency,Bowling Green,KY
525,COALRUNKY.GOV,City,Non-Federal Agency,Pikeville,KY
529,COLDSPRINGKY.GOV,City,Non-Federal Agency,COLD SPRING,KY
568,CORBIN-KY.GOV,City,Non-Federal Agency,Corbin,KY
587,COVINGTONKY.GOV,City,Non-Federal Agency,Covington,KY
665,DRUIDHILLSKY.GOV,City,Non-Federal Agency,Louisville,KY
797,FLORENCE-KY.GOV,City,Non-Federal Agency,Florence,KY
869,GEORGETOWNKY.GOV,City,Non-Federal Agency,Georgetown,KY
881,GLENVIEWKY.GOV,City,Non-Federal Agency,Glenview,KY
981,HAZARDKY.GOV,City,Non-Federal Agency,Hazard,KY
1000,HIGHLANDHEIGHTS-KY.GOV,City,Non-Federal Agency,Highland Heights,KY
1027,HOPKINSVILLE-KY.GOV,City,Non-Federal Agency,Hopkinsville,KY
1089,JEFFERSONTOWNKY.GOV,City,Non-Federal Agency,Jeffersontown,KY
1193,LEXINGTONKY.GOV,City,Non-Federal Agency,lexington,KY
1224,LONDONKY.GOV,City,Non-Federal Agency,London,KY
1243,LOUISVILLEKY.GOV,City,Non-Federal Agency,Louisville,KY
1302,MARIONKY.GOV,City,Non-Federal Agency,Marion,KY
1319,MAYFIELDKY.GOV,City,Non-Federal Agency,Mayfield,KY
1405,MOREHEAD-KY.GOV,City,Non-Federal Agency,Morehead,KY
1434,MURRAYKY.GOV,City,Non-Federal Agency,Murray,KY
1488,NEWPORTKY.GOV,City,Non-Federal Agency,Newport,KY
1600,PADUCAHKY.GOV,City,Non-Federal Agency,Paducah,KY
1645,PIKEVILLEKY.GOV,City,Non-Federal Agency,Pikeville,KY
1850,SCIENCEHILL-KY.GOV,City,Non-Federal Agency,Science Hill,KY
1878,SHIVELYKY.GOV,City,Non-Federal Agency,Shively,KY
1964,STMATTHEWSKY.GOV,City,Non-Federal Agency,Louisville,KY
2003,TAYLORMILLKY.GOV,City,Non-Federal Agency,Taylor Mill,KY
2027,TOMPKINSVILLEKY.GOV,City,Non-Federal Agency,Tompkinsville,KY
2231,WESTBUECHELKY.GOV,City,Non-Federal Agency,WEST BUECHEL,KY
