,Domain Name,Domain Type,Agency,City,State
8,ABINGTONMA.GOV,City,Non-Federal Agency,Abington,MA
11,ACTON-MA.GOV,City,Non-Federal Agency,Acton,MA
12,ACTONMA.GOV,City,Non-Federal Agency,Acton,MA
48,AMHERSTMA.GOV,City,Non-Federal Agency,Amherst,MA
55,ANDOVERMA.GOV,City,Non-Federal Agency,Andover,MA
66,AQUINNAH-MA.GOV,City,Non-Federal Agency,Aquinnah,MA
74,ARLINGTONMA.GOV,City,Non-Federal Agency,Arlington,MA
79,ASHBURNHAM-MA.GOV,City,Non-Federal Agency,Ashburnham,MA
80,ASHBYMA.GOV,City,Non-Federal Agency,Ashby,MA
88,ATHOL-MA.GOV,City,Non-Federal Agency,Athol,MA
134,BEDFORDMA.GOV,City,Non-Federal Agency,Bedford,MA
150,BELMONT-MA.GOV,City,Non-Federal Agency,Belmont,MA
176,BEVERLYMA.GOV,City,Non-Federal Agency,Beverly,MA
200,BOLTON-MA.GOV,City,Non-Federal Agency,Bolton,MA
205,BOSTON.GOV,City,Non-Federal Agency,Boston,MA
216,BOXBOROUGH-MA.GOV,City,Non-Federal Agency,Boxborough,MA
217,BOYLSTON-MA.GOV,City,Non-Federal Agency,Boylston,MA
230,BREWSTER-MA.GOV,City,Non-Federal Agency,Brewster,MA
248,BROOKLINEMA.GOV,City,Non-Federal Agency,Brookline,MA
287,CAMBRIDGEMA.GOV,City,Non-Federal Agency,Cambridge,MA
300,CARLISLEMA.GOV,City,Non-Federal Agency,Carlisle,MA
310,CARVERMA.GOV,City,Non-Federal Agency,Carver,MA
343,CHATHAM-MA.GOV,City,Non-Federal Agency,Chatham,MA
348,CHELSEAMA.GOV,City,Non-Federal Agency,Chelsea,MA
351,CHESHIRE-MA.GOV,City,Non-Federal Agency,Cheshire,MA
360,CHICOPEEMA.GOV,City,Non-Federal Agency,Chicopee,MA
362,CHILMARKMA.GOV,City,Non-Federal Agency,Chilmark,MA
519,CLINTONMA.GOV,City,Non-Federal Agency,Clinton,MA
540,COLRAIN-MA.GOV,City,Non-Federal Agency,Colrain,MA
553,CONCORDMA.GOV,City,Non-Federal Agency,Concord,MA
604,CUMMINGTON-MA.GOV,City,Non-Federal Agency,Cummington,MA
613,DALTON-MA.GOV,City,Non-Federal Agency,Dalton,MA
618,DANVERSMA.GOV,City,Non-Federal Agency,Danvers,MA
632,DEDHAM-MA.GOV,City,Non-Federal Agency,Dedham,MA
656,DIGHTON-MA.GOV,City,Non-Federal Agency,Dighton,MA
679,DUNSTABLE-MA.GOV,City,Non-Federal Agency,Dunstable,MA
698,EASTLONGMEADOWMA.GOV,City,Non-Federal Agency,East Longmeadow,MA
792,FITCHBURGMA.GOV,City,Non-Federal Agency,Fitchburg,MA
817,FOXBOROUGHMA.GOV,City,Non-Federal Agency,Foxborough,MA
818,FRAMINGHAMMA.GOV,City,Non-Federal Agency,Framingham,MA
833,FREETOWNMA.GOV,City,Non-Federal Agency,Assonet,MA
885,GLOUCESTER-MA.GOV,City,Non-Federal Agency,Gloucester,MA
897,GRAFTON-MA.GOV,City,Non-Federal Agency,Grafton,MA
899,GRANBY-MA.GOV,City,Non-Federal Agency,Granby,MA
915,GREENFIELD-MA.GOV,City,Non-Federal Agency,Greenfield,MA
928,GROTONMA.GOV,City,Non-Federal Agency,Groton,MA
941,HADLEYMA.GOV,City,Non-Federal Agency,Hadley,MA
955,HANOVER-MA.GOV,City,Non-Federal Agency,Hanover,MA
957,HANSON-MA.GOV,City,Non-Federal Agency,Hanson,MA
973,HARWICH-MA.GOV,City,Non-Federal Agency,Harwich,MA
975,HAVERHILLMA.GOV,City,Non-Federal Agency,Haverhill,MA
1009,HINGHAM-MA.GOV,City,Non-Federal Agency,Hingham,MA
1012,HOLBROOKMA.GOV,City,Non-Federal Agency,Holbrook,MA
1013,HOLDEN-MA.GOV,City,Non-Federal Agency,Holden,MA
1014,HOLDENMA.GOV,City,Non-Federal Agency,HOLDEN,MA
1024,HOPEDALE-MA.GOV,City,Non-Federal Agency,Hopedale,MA
1029,HOPKINTONMA.GOV,City,Non-Federal Agency,Hopkinton,MA
1068,IPSWICH-MA.GOV,City,Non-Federal Agency,Ipswich,MA
1069,IPSWICHMA.GOV,City,Non-Federal Agency,Ipswich,MA
1154,LANESBOROUGH-MA.GOV,City,Non-Federal Agency,LANESBOROUGH,MA
1187,LEOMINSTER-MA.GOV,City,Non-Federal Agency,Leominster,MA
1254,LUNENBURGMA.GOV,City,Non-Federal Agency,Lunenburg,MA
1261,LYNNMA.GOV,City,Non-Federal Agency,Lynn,MA
1303,MARIONMA.GOV,City,Non-Federal Agency,Marion,MA
1307,MARLBOROUGH-MA.GOV,City,Non-Federal Agency,Marlborough,MA
1315,MASHPEEMA.GOV,City,Non-Federal Agency,Mashpee,MA
1328,MEDFORD-MA.GOV,City,Non-Federal Agency,Medford,MA
1333,MENDONMA.GOV,City,Non-Federal Agency,Mendon,MA
1353,MIDDLETONMA.GOV,City,Non-Federal Agency,Middleton,MA
1393,MONTAGUE-MA.GOV,City,Non-Federal Agency,Turners Falls,MA
1395,MONTEREYMA.GOV,City,Non-Federal Agency,Monterey,MA
1397,MONTGOMERYMA.GOV,City,Non-Federal Agency,Montgomery,MA
1443,NANTUCKET-MA.GOV,City,Non-Federal Agency,Nantucket,MA
1458,NEEDHAMMA.GOV,City,Non-Federal Agency,NEEDHAM,MA
1463,NEWBEDFORD-MA.GOV,City,Non-Federal Agency,New Bedford,MA
