,Domain Name,Domain Type,Agency,City,State
28,ALFREDME.GOV,City,Non-Federal Agency,Alfred,ME
94,AUBURNMAINE.GOV,City,Non-Federal Agency,Auburn,ME
97,AUGUSTAMAINE.GOV,City,Non-Federal Agency,Augusta,ME
98,AUGUSTAME.GOV,City,Non-Federal Agency,Augusta,ME
110,BANGORMAINE.GOV,City,Non-Federal Agency,Bangor,ME
258,BUCKSPORTMAINE.GOV,City,Non-Federal Agency,Bucksport,ME
289,CAMDENMAINE.GOV,City,Non-Federal Agency,Camden,ME
589,CRANBERRYISLES-ME.GOV,City,Non-Federal Agency,Islesford,ME
626,DAYTON-ME.GOV,City,Non-Federal Agency,Dayton,ME
705,EASTPORT-ME.GOV,City,Non-Federal Agency,Eastport,ME
714,EDDINGTONMAINE.GOV,City,Non-Federal Agency,Eddington,ME
733,ELLSWORTHMAINE.GOV,City,Non-Federal Agency,Ellsworth,ME
946,HAMPDENMAINE.GOV,City,Non-Federal Agency,Hampden,ME
1107,KENNEBUNKPORTME.GOV,City,Non-Federal Agency,Kennebunkport,ME
1122,KITTERYME.GOV,City,Non-Federal Agency,Kittery,ME
1192,LEWISTONMAINE.GOV,City,Non-Federal Agency,Lewiston,ME
1255,LYMAN-ME.GOV,City,Non-Federal Agency,Lyman,ME
1560,OAKLAND-ME.GOV,City,Non-Federal Agency,Oakland,ME
1595,OTISFIELDME.GOV,City,Non-Federal Agency,OTISFIELD,ME
1691,PORTLANDMAINE.GOV,City,Non-Federal Agency,Portland,ME
1705,PRESQUEISLEMAINE.GOV,City,Non-Federal Agency,Presque Isle,ME
1778,ROCKLANDMAINE.GOV,City,Non-Federal Agency,Rockland,ME
1781,ROCKPORTMAINE.GOV,City,Non-Federal Agency,Rockport,ME
2202,WATERBORO-ME.GOV,City,Non-Federal Agency,East Waterboro,ME
2207,WATERVILLE-ME.GOV,City,Non-Federal Agency,Waterville,ME
2299,WINSLOW-ME.GOV,City,Non-Federal Agency,Winslow,ME
