,Domain Name,Domain Type,Agency,City,State
16,ADRIANMI.GOV,City,Non-Federal Agency,Adrian,MI
29,ALGONAC-MI.GOV,City,Non-Federal Agency,Algonac,MI
37,ALMONTMICHIGAN.GOV,City,Non-Federal Agency,Almont,MI
116,BATTLECREEK-MI.GOV,City,Non-Federal Agency,Battle Creek,MI
117,BATTLECREEKMI.GOV,City,Non-Federal Agency,Battle Creek,MI
120,BAYCOUNTY-MI.GOV,City,Non-Federal Agency,Bay City,MI
159,BENTONCHARTERTOWNSHIP-MI.GOV,City,Non-Federal Agency,Benton Harbor,MI
191,BLENDONTOWNSHIP-MI.GOV,City,Non-Federal Agency,Hudsonville,MI
192,BLISSFIELDMICHIGAN.GOV,City,Non-Federal Agency,Blissfield,MI
277,BURTONMI.GOV,City,Non-Federal Agency,Burton,MI
326,CENTERLINE.GOV,City,Non-Federal Agency,Center Line,MI
376,CITYOFALBIONMI.GOV,City,Non-Federal Agency,albion,MI
383,CITYOFBENTONHARBORMI.GOV,City,Non-Federal Agency,Benton Harbor,MI
418,CITYOFHARRISON-MI.GOV,City,Non-Federal Agency,Harrison,MI
448,CITYOFMIDLANDMI.GOV,City,Non-Federal Agency,Midland,MI
458,CITYOFNOVI-MI.GOV,City,Non-Federal Agency,Novi,MI
522,CLINTONTOWNSHIP-MI.GOV,City,Non-Federal Agency,Clinton Township,MI
552,COMSTOCKMI.GOV,City,Non-Federal Agency,Kalamazoo,MI
576,CORUNNA-MI.GOV,City,Non-Federal Agency,Corunna,MI
634,DEERFIELDMICHIGAN.GOV,City,Non-Federal Agency,Deerfield,MI
641,DELTAMI.GOV,City,Non-Federal Agency,Lansing,MI
648,DETROITMI.GOV,City,Non-Federal Agency,Detroit,MI
650,DEXTERMI.GOV,City,Non-Federal Agency,Dexter,MI
676,DUNDEEVILLAGEMI.GOV,City,Non-Federal Agency,Dundee,MI
711,EAUCLAIREVILLAGE-MI.GOV,City,Non-Federal Agency,Eau Claire,MI
713,ECORSEMI.GOV,City,Non-Federal Agency,ECORSE,MI
788,FERNDALEMI.GOV,City,Non-Federal Agency,Ferndale,MI
846,FRUITPORTTOWNSHIP-MI.GOV,City,Non-Federal Agency,Fruitport,MI
868,GEORGETOWN-MI.GOV,City,Non-Federal Agency,Jenison,MI
896,GPSHORESMI.GOV,City,Non-Federal Agency,Grosse Pointe Shores,MI
978,HAYESTOWNSHIPMI.GOV,City,Non-Federal Agency,Charlevoix,MI
1047,HURONTOWNSHIP-MI.GOV,City,Non-Federal Agency,New Boston,MI
1118,KINROSSTOWNSHIP-MI.GOV,City,Non-Federal Agency,Kincheloe,MI
1155,LANSINGMI.GOV,City,Non-Federal Agency,Lansing,MI
1168,LAWTONMI.GOV,City,Non-Federal Agency,Lawton,MI
1190,LEROYTOWNSHIP-MI.GOV,City,Non-Federal Agency,Webberville,MI
1253,LUDINGTON-MI.GOV,City,Non-Federal Agency,Ludington,MI
1264,MACOMB-MI.GOV,City,Non-Federal Agency,Macomb,MI
1287,MANISTEEMI.GOV,City,Non-Federal Agency,Traverse City,MI
1390,MONROEMI.GOV,City,Non-Federal Agency,Monroe,MI
1430,MUNDYTWP-MI.GOV,City,Non-Federal Agency,Swartz Creek,MI
1437,MUSKEGON-MI.GOV,City,Non-Federal Agency,Muskegon,MI
1505,NILESTWPMI.GOV,City,Non-Federal Agency,Niles,MI
1533,NORTHFIELDMI.GOV,City,Non-Federal Agency,Whitmore Lake,MI
1548,NORWAYMI.GOV,City,Non-Federal Agency,Norway,MI
1565,OAKPARKMI.GOV,City,Non-Federal Agency,Oak Park,MI
1592,OSCODATOWNSHIPMI.GOV,City,Non-Federal Agency,Oscoda,MI
1655,PITTSFIELD-MI.GOV,City,Non-Federal Agency,Ann Arbor,MI
1683,PORTAGE-MI.GOV,City,Non-Federal Agency,Portage,MI
1684,PORTAGEMI.GOV,City,Non-Federal Agency,Portage,MI
1794,ROMI.GOV,City,Non-Federal Agency,Royal Oak,MI
1797,ROSEVILLE-MI.GOV,City,Non-Federal Agency,Roseville,MI
1803,ROYALOAKMI.GOV,City,Non-Federal Agency,Royal Oak,MI
1844,SAULTSTEMARIE-MI.GOV,City,Non-Federal Agency,Sault Ste Marie,MI
1861,SEBEWAINGMI.GOV,City,Non-Federal Agency,Sebewaing,MI
1958,STERLINGHEIGHTSMI.GOV,City,Non-Federal Agency,Sterling Heights,MI
1973,STURGISMI.GOV,City,Non-Federal Agency,Sturgis,MI
2082,TRAVERSECITYMI.GOV,City,Non-Federal Agency,Traverse City,MI
2091,TROYMI.GOV,City,Non-Federal Agency,Troy,MI
2137,VERMONTVILLE-MI.GOV,City,Non-Federal Agency,Vermontville,MI
2161,VILLAGEOFNEWHAVEN-MI.GOV,City,Non-Federal Agency,New Haven,MI
2203,WATERFORDMI.GOV,City,Non-Federal Agency,Waterford,MI
2316,WYOMINGMI.GOV,City,Non-Federal Agency,Wyoming,MI
2326,ZILWAUKEEMICHIGAN.GOV,City,Non-Federal Agency,Zilwaukee,MI
