,Domain Name,Domain Type,Agency,City,State
14,ADAMN.GOV,City,Non-Federal Agency,Ada,MN
56,ANDOVERMN.GOV,City,Non-Federal Agency,Andover,MN
119,BAXTERMN.GOV,City,Non-Federal Agency,Baxter,MN
188,BLAINEMN.GOV,City,Non-Federal Agency,Blaine,MN
194,BLOOMINGTON-MN.GOV,City,Non-Federal Agency,Bloomington,MN
195,BLOOMINGTONMN.GOV,City,Non-Federal Agency,Bloomington,MN
274,BURNSVILLEMN.GOV,City,Non-Federal Agency,Burnsville,MN
284,CALEDONIAMN.GOV,City,Non-Federal Agency,Caledonia,MN
295,CANNONFALLSMN.GOV,City,Non-Federal Agency,Cannon Falls,MN
406,CITYOFFAIRFAX-MN.GOV,City,Non-Federal Agency,Fairfax,MN
422,CITYOFHOKAH-MN.GOV,City,Non-Federal Agency,Hokah,MN
434,CITYOFLACRESCENT-MN.GOV,City,Non-Federal Agency,La Crescent,MN
456,CITYOFNEWULM-MN.GOV,City,Non-Federal Agency,New Ulm,MN
542,COLUMBIAHEIGHTSMN.GOV,City,Non-Federal Agency,Columbia Heights,MN
562,COONRAPIDSMN.GOV,City,Non-Federal Agency,Coon Rapids,MN
591,CREDITRIVER-MN.GOV,City,Non-Federal Agency,Prior Lake,MN
598,CRYSTALMN.GOV,City,Non-Federal Agency,Crystal,MN
670,DULUTHMN.GOV,City,Non-Federal Agency,Duluth,MN
719,EDINAMN.GOV,City,Non-Federal Agency,Edina,MN
727,ELKRIVERMN.GOV,City,Non-Federal Agency,Elk River,MN
827,FREDENBERGTWP-MN.GOV,City,Non-Federal Agency,Duluth,MN
839,FRIDLEYMN.GOV,City,Non-Federal Agency,Fridley,MN
890,GOLDENVALLEYMN.GOV,City,Non-Federal Agency,Golden Valley,MN
974,HASTINGSMN.GOV,City,Non-Federal Agency,Hastings,MN
1087,JANESVILLEMN.GOV,City,Non-Federal Agency,Janesville,MN
1097,JORDANMN.GOV,City,Non-Federal Agency,Jordan,MN
1147,LAKEVILLE-MN.GOV,City,Non-Federal Agency,Lakeville,MN
1148,LAKEVILLEMN.GOV,City,Non-Federal Agency,Lakeville,MN
1149,LAKEVILLEMNFIRE.GOV,City,Non-Federal Agency,Lakeville,MN
1153,LANESBORO-MN.GOV,City,Non-Federal Agency,Lanesboro,MN
1230,LONGLAKEMN.GOV,City,Non-Federal Agency,Long Lake,MN
1269,MADISONLAKEMN.GOV,City,Non-Federal Agency,Madison LAke,MN
1288,MANKATO-MN.GOV,City,Non-Federal Agency,Mankato,MN
1289,MANKATOMN.GOV,City,Non-Federal Agency,Mankato,MN
1296,MAPLEGROVEMN.GOV,City,Non-Federal Agency,Maple Grove,MN
1298,MAPLEWOODMN.GOV,City,Non-Federal Agency,Maplewood,MN
1330,MEDINAMN.GOV,City,Non-Federal Agency,Medina,MN
1379,MINNEAPOLIS-MN.GOV,City,Non-Federal Agency,Minneapolis,MN
1380,MINNEAPOLISMN.GOV,City,Non-Federal Agency,Minneapolis,MN
1381,MINNETONKA-MN.GOV,City,Non-Federal Agency,Minnetonka,MN
1462,NEWAUBURNMN.GOV,City,Non-Federal Agency,New Auburn,MN
1466,NEWBRIGHTONMN.GOV,City,Non-Federal Agency,New Brighton,MN
1477,NEWHOPEMN.GOV,City,Non-Federal Agency,New Hope,MN
1589,ORONOCOTOWNSHIP-MN.GOV,City,Non-Federal Agency,Oronoco,MN
1629,PEQUOTLAKES-MN.GOV,City,Non-Federal Agency,Pequot Lakes,MN
1670,PLYMOUTHMN.GOV,City,Non-Federal Agency,Plymouth,MN
1710,PROCTORMN.GOV,City,Non-Federal Agency,Proctor,MN
1773,ROCHESTERMN.GOV,City,Non-Federal Agency,Rochester,MN
1789,ROGERSMN.GOV,City,Non-Federal Agency,Rogers,MN
1817,SAINTPETERMN.GOV,City,Non-Federal Agency,Saint Peter,MN
1872,SHAKOPEEMN.GOV,City,Non-Federal Agency,Shakopee,MN
1881,SHOREVIEWMN.GOV,City,Non-Federal Agency,Shoreview,MN
1906,SOLWAYTOWNSHIP-MN.GOV,City,Non-Federal Agency,Cloquet,MN
1969,STPAUL.GOV,City,Non-Federal Agency,Saint Paul,MN
2111,TWOHARBORSMN.GOV,City,Non-Federal Agency,TWO HARBORS,MN
2284,WILLMARMN.GOV,City,Non-Federal Agency,Willmar,MN
2303,WOODBURYMN.GOV,City,Non-Federal Agency,Woodbury,MN
2313,WSPMN.GOV,City,Non-Federal Agency,West Saint Paul,MN
