,Domain Name,Domain Type,Agency,City,State
122,BAYSTLOUIS-MS.GOV,City,Non-Federal Agency,Bay St. Louis,MS
202,BOONEVILLE-MS.GOV,City,Non-Federal Agency,Booneville,MS
664,DREW-MS.GOV,City,Non-Federal Agency,Drew,MS
866,GAUTIER-MS.GOV,City,Non-Federal Agency,Gautier,MS
933,GULFPORT-MS.GOV,City,Non-Federal Agency,Gulfport,MS
1061,INDIANOLAMS.GOV,City,Non-Federal Agency,Indianola,MS
1079,JACKSONMS.GOV,City,Non-Federal Agency,Jackson,MS
1320,MCCOMB-MS.GOV,City,Non-Federal Agency,McComb,MS
1572,OCEANSPRINGS-MS.GOV,City,Non-Federal Agency,Ocean Springs,MS
1681,POPLARVILLEMS.GOV,City,Non-Federal Agency,Poplarvile,MS
1751,RICHLANDMS.GOV,City,Non-Federal Agency,Richland,MS
2104,TUPELOMS.GOV,City,Non-Federal Agency,Tupelo,MS
2143,VICKSBURGMS.GOV,City,Non-Federal Agency,Vicksburg,MS
2184,WALNUTGROVEMS.GOV,City,Non-Federal Agency,Walnut Grove,MS
2211,WAVELAND-MS.GOV,City,Non-Federal Agency,Waveland,MS
