,Domain Name,Domain Type,Agency,City,State
22,ALBEMARLENC.GOV,City,Non-Federal Agency,Albemarle,NC
71,ARCHDALE-NC.GOV,City,Non-Federal Agency,ARCHDALE,NC
81,ASHEBORONC.GOV,City,Non-Federal Agency,Asheboro,NC
82,ASHEVILLENC.GOV,City,Non-Federal Agency,Asheville,NC
255,BRYSONCITYNC.GOV,City,Non-Federal Agency,Bryson City,NC
269,BURLINGTONNC.GOV,City,Non-Federal Agency,Burlington,NC
305,CARRBORONC.GOV,City,Non-Federal Agency,Carrboro,NC
311,CARYNC.GOV,City,Non-Federal Agency,Cary,NC
341,CHARLOTTENC.GOV,City,Non-Federal Agency,Charlotte,NC
363,CHINAGROVENC.GOV,City,Non-Federal Agency,China Grove,NC
366,CHOWANCOUNTY-NC.GOV,City,Non-Federal Agency,Edenton,NC
554,CONCORDNC.GOV,City,Non-Federal Agency,Concord,NC
559,CONOVERNC.GOV,City,Non-Federal Agency,Conover,NC
682,DURHAMNC.GOV,City,Non-Federal Agency,Durham,NC
770,FAIRVIEWNC.GOV,City,Non-Federal Agency,Monroe,NC
781,FARMVILLENC.GOV,City,Non-Federal Agency,Farmville,NC
785,FAYETTEVILLENC.GOV,City,Non-Federal Agency,Fayetteville,NC
835,FREMONTNC.GOV,City,Non-Federal Agency,Fremont,NC
862,GARNERNC.GOV,City,Non-Federal Agency,Garner,NC
891,GOLDSBORONC.GOV,City,Non-Federal Agency,Goldsboro,NC
904,GRANITEQUARRYNC.GOV,City,Non-Federal Agency,Granite Quarry ,NC
920,GREENSBORO-NC.GOV,City,Non-Federal Agency,Greensboro,NC
922,GREENVILLENC.GOV,City,Non-Federal Agency,Greenville,NC
991,HENDERSONVILLENC.GOV,City,Non-Federal Agency,Hendersonville,NC
998,HICKORYNC.GOV,City,Non-Federal Agency,Hickory,NC
1003,HIGHPOINT-NC.GOV,City,Non-Federal Agency,High Point,NC
1004,HIGHPOINTNC.GOV,City,Non-Federal Agency,High Point,NC
1007,HILLSBOROUGHNC.GOV,City,Non-Federal Agency,Hillsborough,NC
1050,HVLNC.GOV,City,Non-Federal Agency,Hendersonville,NC
1083,JACKSONVILLENC.GOV,City,Non-Federal Agency,Jacksonville,NC
1084,JAMESTOWN-NC.GOV,City,Non-Federal Agency,Jamestown,NC
1096,JONESVILLENC.GOV,City,Non-Federal Agency,Jonesville,NC
1100,KANNAPOLISNC.GOV,City,Non-Federal Agency,Concord,NC
1119,KINSTONNC.GOV,City,Non-Federal Agency,Kinston,NC
1123,KITTYHAWKNC.GOV,City,Non-Federal Agency,Kitty Hawk,NC
1124,KNIGHTDALENC.GOV,City,Non-Federal Agency,Knightdale,NC
1142,LAKEPARKNC.GOV,City,Non-Federal Agency,Indian Trail,NC
1185,LENOIR-NC.GOV,City,Non-Federal Agency,Lenoir,NC
1194,LEXINGTONNC.GOV,City,Non-Federal Agency,Lexington,NC
1273,MAIDENNC.GOV,City,Non-Federal Agency,Maiden,NC
1317,MATTHEWSNC.GOV,City,Non-Federal Agency,Matthews,NC
1360,MIDWAY-NC.GOV,City,Non-Federal Agency,Winston-Salem,NC
1388,MOCKSVILLENC.GOV,City,Non-Federal Agency,Mocksville,NC
1403,MOORESVILLE-NC.GOV,City,Non-Federal Agency,Mooresville,NC
1406,MORGANTONNC.GOV,City,Non-Federal Agency,Morganton,NC
1442,NAGSHEADNC.GOV,City,Non-Federal Agency,Nags Head,NC
1495,NEWTONNC.GOV,City,Non-Federal Agency,Newton,NC
1648,PINEHURSTNC.GOV,City,Non-Federal Agency,Pinehurst,NC
1651,PINEVILLENC.GOV,City,Non-Federal Agency,Pineville,NC
1652,PITTSBORONC.GOV,City,Non-Federal Agency,Pittsboro,NC
1718,RALEIGHNC.GOV,City,Non-Federal Agency,Raleigh,NC
1739,REIDSVILLENC.GOV,City,Non-Federal Agency,Reidsville,NC
1753,RICHLANDSNC.GOV,City,Non-Federal Agency,Richlands,NC
1784,ROCKWELLNC.GOV,City,Non-Federal Agency,Rockwell,NC
1787,ROCKYMOUNTNC.GOV,City,Non-Federal Agency,Rocky Mount,NC
1790,ROLESVILLENC.GOV,City,Non-Federal Agency,Rolesville,NC
1822,SALISBURYNC.GOV,City,Non-Federal Agency,Salisbury,NC
1943,SPRUCEPINE-NC.GOV,City,Non-Federal Agency,Spruce Pine,NC
1948,STARNC.GOV,City,Non-Federal Agency,Star,NC
1986,SUNSETBEACHNC.GOV,City,Non-Federal Agency,Sunset Beach,NC
1989,SURFCITYNC.GOV,City,Non-Federal Agency,Surf City,NC
2016,THOMASVILLE-NC.GOV,City,Non-Federal Agency,Thomasville,NC
2036,TOWNOFBLOWINGROCKNC.GOV,City,Non-Federal Agency,Blowing Rock,NC
2039,TOWNOFCARRBORONC.GOV,City,Non-Federal Agency,Carrboro,NC
2040,TOWNOFCARYNC.GOV,City,Non-Federal Agency,Cary,NC
2042,TOWNOFCLAYTONNC.GOV,City,Non-Federal Agency,Clayton,NC
2057,TOWNOFNASHVILLENC.GOV,City,Non-Federal Agency,Nashville,NC
2067,TOWNOFROBERSONVILLE-NC.GOV,City,Non-Federal Agency,Robersonville,NC
2075,TOWNOFVASSNC.GOV,City,Non-Federal Agency,Vass,NC
2085,TRINITY-NC.GOV,City,Non-Federal Agency,Trinity,NC
2089,TROUTMANNC.GOV,City,Non-Federal Agency,Troutman,NC
2160,VILLAGEOFMISENHEIMERNC.GOV,City,Non-Federal Agency,Misenheimer,NC
2165,VILLAGEOFPINEHURSTNC.GOV,City,Non-Federal Agency,Pinehurst,NC
2178,WAKEFORESTNC.GOV,City,Non-Federal Agency,WAKE FOREST,NC
2194,WASHINGTON-WARRENAIRPORT-NC.GOV,City,Non-Federal Agency,WASHINGTON,NC
2213,WAYNESVILLENC.GOV,City,Non-Federal Agency,Waynesville,NC
2305,WOODFIN-NC.GOV,City,Non-Federal Agency,Woodfin,NC
