,Domain Name,Domain Type,Agency,City,State
34,ALLENSTOWNNH.GOV,City,Non-Federal Agency,Allenstown,NH
38,ALSTEADNH.GOV,City,Non-Federal Agency,Alstead,NH
49,AMHERSTNH.GOV,City,Non-Federal Agency,Amherst,NH
54,ANDOVER-NH.GOV,City,Non-Federal Agency,Andover,NH
89,ATKINSON-NH.GOV,City,Non-Federal Agency,Atkinson,NH
164,BERLINNH.GOV,City,Non-Federal Agency,Berlin,NH
211,BOW-NH.GOV,City,Non-Federal Agency,Bow,NH
228,BRENTWOODNH.GOV,City,Non-Federal Agency,Brentwood,NH
340,CHARLESTOWN-NH.GOV,City,Non-Federal Agency,Charlestown,NH
555,CONCORDNH.GOV,City,Non-Federal Agency,Concord,NH
696,EASTKINGSTONNH.GOV,City,Non-Federal Agency,East Kingston,NH
762,EXETERNH.GOV,City,Non-Federal Agency,Exeter,NH
794,FITZWILLIAM-NH.GOV,City,Non-Federal Agency,Fitzwilliam,NH
819,FRANCESTOWN-NH.GOV,City,Non-Federal Agency,Francestown,NH
888,GOFFSTOWNNH.GOV,City,Non-Federal Agency,Goffstown,NH
916,GREENFIELD-NH.GOV,City,Non-Federal Agency,Greenfield,NH
950,HAMPTONNH.GOV,City,Non-Federal Agency,Hampton,NH
1015,HOLDERNESS-NH.GOV,City,Non-Federal Agency,Holderness,NH
1028,HOPKINTON-NH.GOV,City,Non-Federal Agency,Hopkinton,NH
1037,HUDSONNH.GOV,City,Non-Federal Agency,Hudson,NH
1176,LEBANONNH.GOV,City,Non-Federal Agency,Lebanon,NH
1211,LITCHFIELD-NH.GOV,City,Non-Federal Agency,Litchfield,NH
1212,LITCHFIELDNH.GOV,City,Non-Federal Agency,Litchfield,NH
1258,LYMENH.GOV,City,Non-Federal Agency,Lyme,NH
1286,MANCHESTERNH.GOV,City,Non-Federal Agency,Manchester,NH
1308,MARLOWNH.GOV,City,Non-Federal Agency,Marlow,NH
1339,MERRIMACKNH.GOV,City,Non-Federal Agency,Merrimack,NH
1354,MIDDLETONNH.GOV,City,Non-Federal Agency,Middleton,NH
1411,MOULTONBOROUGHNH.GOV,City,Non-Federal Agency,Moultonborough,NH
1449,NASHUANH.GOV,City,Non-Federal Agency,Nashua,NH
1465,NEWBOSTONNH.GOV,City,Non-Federal Agency,New Boston,NH
1474,NEWFIELDSNH.GOV,City,Non-Federal Agency,Newfields,NH
1480,NEWMARKETNH.GOV,City,Non-Federal Agency,Newmarket,NH
1490,NEWPORTNH.GOV,City,Non-Federal Agency,Newport,NH
1494,NEWTON-NH.GOV,City,Non-Federal Agency,Newton,NH
1535,NORTHHAMPTON-NH.GOV,City,Non-Federal Agency,North Hampton,NH
1551,NOTTINGHAM-NH.GOV,City,Non-Federal Agency,Nottingham,NH
1633,PETERBOROUGHNH.GOV,City,Non-Federal Agency,Peterborough,NH
1656,PITTSFIELDNH.GOV,City,Non-Federal Agency,Pittsfield,NH
1728,RAYMONDNH.GOV,City,Non-Federal Agency,Raymond,NH
1971,STRATHAMNH.GOV,City,Non-Federal Agency,Stratham,NH
1992,SUTTON-NH.GOV,City,Non-Federal Agency,Sutton,NH
2123,UNITYNH.GOV,City,Non-Federal Agency,Charlestown,NH
2217,WEBSTER-NH.GOV,City,Non-Federal Agency,Webster,NH
2289,WILTONNH.GOV,City,Non-Federal Agency,Wilton,NH
2291,WINCHESTER-NH.GOV,City,Non-Federal Agency,Winchester,NH
2295,WINDHAMNH.GOV,City,Non-Federal Agency,Windham,NH
