,Domain Name,Domain Type,Agency,City,State
9,ABSECONNJ.GOV,City,Non-Federal Agency,Absecon,NJ
10,ACCESSPRINCETONNJ.GOV,City,Non-Federal Agency,Princeton,NJ
26,ALEXANDRIANJ.GOV,City,Non-Federal Agency,Milford,NJ
33,ALLENDALENJ.GOV,City,Non-Federal Agency,Allendale,NJ
124,BEACHHAVEN-NJ.GOV,City,Non-Federal Agency,Beach Haven,NJ
162,BERKELEYHEIGHTSTWPNJ.GOV,City,Non-Federal Agency,Berkeley Heights,NJ
218,BRADLEYBEACHNJ.GOV,City,Non-Federal Agency,Bradley Beach,NJ
232,BRICKTOWNSHIP-NJ.GOV,City,Non-Federal Agency,Brick,NJ
236,BRIDGEWATERNJ.GOV,City,Non-Federal Agency,Bridgewater,NJ
304,CARNEYSPOINTNJ.GOV,City,Non-Federal Agency,Carneys Point,NJ
345,CHATHAMTOWNSHIP-NJ.GOV,City,Non-Federal Agency,Chatham,NJ
465,CITYOFPASSAICNJ.GOV,City,Non-Federal Agency,Passaic,NJ
480,CITYOFSALEMNJ.GOV,City,Non-Federal Agency,Salem,NJ
516,CLIFFSIDEPARKNJ.GOV,City,Non-Federal Agency,Cliffside Park,NJ
520,CLINTONNJ.GOV,City,Non-Federal Agency,New Jersey,NJ
673,DUMONTNJ.GOV,City,Non-Federal Agency,Dumont,NJ
677,DUNELLEN-NJ.GOV,City,Non-Federal Agency,Dunellen,NJ
703,EASTORANGE-NJ.GOV,City,Non-Federal Agency,East ORange,NJ
729,ELKTOWNSHIPNJ.GOV,City,Non-Federal Agency,Monroeville,NJ
761,EVESHAM-NJ.GOV,City,Non-Federal Agency,Marlton,NJ
798,FLORENCE-NJ.GOV,City,Non-Federal Agency,Florence,NJ
821,FRANKLIN-NJ.GOV,City,Non-Federal Agency,Someret,NJ
823,FRANKLINNJ.GOV,City,Non-Federal Agency,Somerset,NJ
831,FREEHOLDBOROUGHNJ.GOV,City,Non-Federal Agency,Freehold,NJ
854,GALLOWAYTWP-NJ.GOV,City,Non-Federal Agency,Galloway,NJ
940,HADDONFIELD-NJ.GOV,City,Non-Federal Agency,Haddonfield,NJ
960,HARMONYTWP-NJ.GOV,City,Non-Federal Agency,Phillipsburg,NJ
963,HARRINGTONPARKNJ.GOV,City,Non-Federal Agency,HARRINGTON PARK,NJ
1011,HOBOKENNJ.GOV,City,Non-Federal Agency,Hoboken,NJ
1016,HOLLANDTOWNSHIPNJ.GOV,City,Non-Federal Agency,Milford,NJ
1092,JERSEYCITYNJ.GOV,City,Non-Federal Agency,Jersey City,NJ
1103,KEANSBURGNJ.GOV,City,Non-Federal Agency,Keansburg,NJ
1151,LAKEWOODNJ.GOV,City,Non-Federal Agency,Lakewood,NJ
1188,LEONIANJ.GOV,City,Non-Federal Agency,Leonia,NJ
1208,LINDENWOLDNJ.GOV,City,Non-Federal Agency,Lindenwold,NJ
1229,LONGHILLNJ.GOV,City,Non-Federal Agency,Long Hill,NJ
1232,LONGPORTNJ.GOV,City,Non-Federal Agency,Longport,NJ
1250,LOWERALLOWAYSCREEK-NJ.GOV,City,Non-Federal Agency,Hancocks Bridge,NJ
1272,MAHWAH-NJ.GOV,City,Non-Federal Agency,Mahwah,NJ
1278,MANASQUAN-NJ.GOV,City,Non-Federal Agency,MANASQUAN,NJ
1294,MANSFIELDTOWNSHIP-NJ.GOV,City,Non-Federal Agency,Port Murray,NJ
1306,MARLBORO-NJ.GOV,City,Non-Federal Agency,Marlboro,NJ
1337,MERCHANTVILLENJ.GOV,City,Non-Federal Agency,Merchantville,NJ
1352,MIDDLESEXBORO-NJ.GOV,City,Non-Federal Agency,Middlesex,NJ
1371,MILLSTONENJ.GOV,City,Non-Federal Agency,Millstone,NJ
1373,MILLVILLENJ.GOV,City,Non-Federal Agency,Millville,NJ
1529,NORTHBRUNSWICKNJ.GOV,City,Non-Federal Agency,North Brunswick,NJ
1619,PATERSONNJ.GOV,City,Non-Federal Agency,Paterson,NJ
1657,PLAINFIELDNJ.GOV,City,Non-Federal Agency,Plainfield,NJ
1707,PRINCETONNJ.GOV,City,Non-Federal Agency,Princeton,NJ
1761,RIDGEFIELDNJ.GOV,City,Non-Federal Agency,Ridgefield,NJ
1765,RIVERDALENJ.GOV,City,Non-Federal Agency,Riverdale,NJ
1772,ROCHELLEPARKNJ.GOV,City,Non-Federal Agency,Rochelle Park,NJ
1785,ROCKYHILL-NJ.GOV,City,Non-Federal Agency,Rocky Hill,NJ
1808,RUMSONNJ.GOV,City,Non-Federal Agency,Rumson,NJ
1812,SADDLEBROOKNJ.GOV,City,Non-Federal Agency,Saddlebrook,NJ
1852,SCOTCHPLAINSNJ.GOV,City,Non-Federal Agency,SCOTCH PLAINS,NJ
1862,SECAUCUSNJ.GOV,City,Non-Federal Agency,Secaucus,NJ
1914,SOUTHAMBOYNJ.GOV,City,Non-Federal Agency,South Amboy,NJ
1918,SOUTHBRUNSWICKNJ.GOV,City,Non-Federal Agency,South Brunswick,NJ
1944,STAFFORDNJ.GOV,City,Non-Federal Agency,Manawhakin,NJ
1947,STANHOPENJ.GOV,City,Non-Federal Agency,Stanhope,NJ
2006,TEANECKNJ.GOV,City,Non-Federal Agency,Teaneck,NJ
2081,TOWNSHIPOFTABERNACLE-NJ.GOV,City,Non-Federal Agency,Tabernacle,NJ
2112,TWPOCEANNJ.GOV,City,Non-Federal Agency,Waretown,NJ
2117,UNIONBEACHNJ.GOV,City,Non-Federal Agency,Union Beach,NJ
2122,UNIONTWP-HCNJ.GOV,City,Non-Federal Agency,HAMPTON,NJ
2127,UPPERTOWNSHIPNJ.GOV,City,Non-Federal Agency,Petersburg,NJ
2145,VICTORYGARDENSNJ.GOV,City,Non-Federal Agency,Victory Gardens,NJ
2195,WASHINGTONBORO-NJ.GOV,City,Non-Federal Agency,Washington,NJ
2201,WATCHUNGNJ.GOV,City,Non-Federal Agency,Watchung,NJ
2218,WEEHAWKENNJ.GOV,City,Non-Federal Agency,Weehawken,NJ
2228,WESTAMPTONNJ.GOV,City,Non-Federal Agency,Westampton,NJ
2235,WESTFIELDNJ.GOV,City,Non-Federal Agency,Westfield,NJ
2260,WESTWOODNJ.GOV,City,Non-Federal Agency,Westwood,NJ
2281,WILLINGBORONJ.GOV,City,Non-Federal Agency,Willingboro,NJ
