,Domain Name,Domain Type,Agency,City,State
23,ALBUQUERQUE-NM.GOV,City,Non-Federal Agency,Albuquerque,NM
57,ANGELFIRENM.GOV,City,Non-Federal Agency,Angel Fire,NM
77,ARTESIANM.GOV,City,Non-Federal Agency,Artesia,NM
105,AZTECNM.GOV,City,Non-Federal Agency,Aztec,NM
141,BELEN-NM.GOV,City,Non-Federal Agency,Belen,NM
165,BERNCO.GOV,City,Non-Federal Agency,Albuquerque,NM
204,BOSQUEFARMSNM.GOV,City,Non-Federal Agency,Bosque Farms,NM
281,CABQ.GOV,City,Non-Federal Agency,Albuquerque,NM
574,CORRALESNM.GOV,City,Non-Federal Agency,Corales,NM
718,EDGEWOOD-NM.GOV,City,Non-Federal Agency,Edgewood,NM
751,ESPANOLANM.GOV,City,Non-Federal Agency,Espanola,NM
855,GALLUPNM.GOV,City,Non-Federal Agency,GALLUP,NM
1090,JEMEZSPRINGS-NM.GOV,City,Non-Federal Agency,Jemez Springs,NM
1161,LASVEGASNM.GOV,City,Non-Federal Agency,Las Vegas,NM
1238,LOSLUNASNM.GOV,City,Non-Federal Agency,Los Lunas,NM
1239,LOSRANCHOSNM.GOV,City,Non-Federal Agency,Los Ranchos de Albuquerque,NM
1341,MESILLANM.GOV,City,Non-Federal Agency,Mesilla,NM
1408,MORIARTYNM.GOV,City,Non-Federal Agency,Moriarty,NM
1412,MOUNTAINAIRNM.GOV,City,Non-Federal Agency,Mountainair,NM
1686,PORTALESNM.GOV,City,Non-Federal Agency,Portales,NM
1726,RATONNM.GOV,City,Non-Federal Agency,Raton,NM
1763,RIORANCHONM.GOV,City,Non-Federal Agency,Rio Rancho,NM
1799,ROSWELL-NM.GOV,City,Non-Federal Agency,Roswell,NM
1806,RRNM.GOV,City,Non-Federal Agency,Rio Rancho,NM
1807,RUIDOSO-NM.GOV,City,Non-Federal Agency,Ruidoso,NM
1837,SANTAFENM.GOV,City,Non-Federal Agency,Santa Fe,NM
1887,SILVERCITYNM.GOV,City,Non-Federal Agency,Silver City,NM
1901,SOCORRONM.GOV,City,Non-Federal Agency,Socorro,NM
1983,SUNLANDPARK-NM.GOV,City,Non-Federal Agency,Sunland Park,NM
2275,WILLARDNM.GOV,City,Non-Federal Agency,Willard,NM
