,Domain Name,Domain Type,Agency,City,State
21,ALBANYNY.GOV,City,Non-Federal Agency,Albany,NY
45,AMENIANY.GOV,City,Non-Federal Agency,Amenia,NY
52,AMSTERDAMNY.GOV,City,Non-Federal Agency,Amsterdam,NY
95,AUBURNNY.GOV,City,Non-Federal Agency,Auburn,NY
123,BAYVILLENY.GOV,City,Non-Federal Agency,Bayville,NY
135,BEDFORDNY.GOV,City,Non-Federal Agency,Bedford Hills,NY
178,BIGFLATSNY.GOV,City,Non-Federal Agency,Big Flats,NY
181,BINGHAMTON-NY.GOV,City,Non-Federal Agency,Binghamton,NY
231,BREWSTERVILLAGE-NY.GOV,City,Non-Federal Agency,Brewster,NY
247,BROOKHAVENNY.GOV,City,Non-Federal Agency,Farmingville,NY
288,CAMBRIDGENY.GOV,City,Non-Federal Agency,Cambridge,NY
294,CANANDAIGUANEWYORK.GOV,City,Non-Federal Agency,Canandaigua,NY
319,CEDARHURST.GOV,City,Non-Federal Agency,cedarhurst,NY
352,CHESTER-NY.GOV,City,Non-Federal Agency,Chester,NY
455,CITYOFNEWBURGH-NY.GOV,City,Non-Federal Agency,Newburgh,NY
471,CITYOFPLATTSBURGH-NY.GOV,City,Non-Federal Agency,Plattsburgh,NY
476,CITYOFROCHESTER.GOV,City,Non-Federal Agency,Rochester,NY
526,COHOES-NY.GOV,City,Non-Federal Agency,Cohoes,NY
530,COLDSPRINGNY.GOV,City,Non-Federal Agency,Cold Spring ,NY
570,CORNWALLNY.GOV,City,Non-Federal Agency,Cornwall,NY
597,CROTONONHUDSON-NY.GOV,City,Non-Federal Agency,Croton-On-Hudson,NY
684,DUTCHESSNY.GOV,City,Non-Federal Agency,Poughkeepsie,NY
693,EASTHAMPTONNY.GOV,City,Non-Federal Agency,Amagansett,NY
694,EASTHAMPTONVILLAGENY.GOV,City,Non-Federal Agency,East Hampton,NY
715,EDENNY.GOV,City,Non-Federal Agency,Eden,NY
724,EHAMPTONNY.GOV,City,Non-Federal Agency,East Hampton,NY
763,FABIUS-NY.GOV,City,Non-Federal Agency,Fabius,NY
786,FAYETTEVILLENY.GOV,City,Non-Federal Agency,Fayetteville,NY
791,FISHKILL-NY.GOV,City,Non-Federal Agency,Fishkill,NY
832,FREEPORTNY.GOV,City,Non-Federal Agency,Freeport,NY
910,GREECENY.GOV,City,Non-Federal Agency,Rochester,NY
918,GREENISLANDNY.GOV,City,Non-Federal Agency,Green Island,NY
944,HAMILTON-NY.GOV,City,Non-Federal Agency,HAMILTON,NY
966,HARRISON-NY.GOV,City,Non-Federal Agency,Harrison,NY
983,HEADOFTHEHARBORNY.GOV,City,Non-Federal Agency,Saint James,NY
1002,HIGHLANDS-NY.GOV,City,Non-Federal Agency,Highland Falls,NY
1030,HORICONNY.GOV,City,Non-Federal Agency,Brant Lake,NY
1042,HUNTINGTONNY.GOV,City,Non-Federal Agency,Huntington,NY
1071,IRVINGTONNY.GOV,City,Non-Federal Agency,Irvington,NY
1073,ISLIP-NY.GOV,City,Non-Federal Agency,Islip,NY
1074,ISLIPNY.GOV,City,Non-Federal Agency,Islip,NY
1075,ISLIPTOWN-NY.GOV,City,Non-Federal Agency,Islip,NY
1113,KINDERHOOK-NY.GOV,City,Non-Federal Agency,Niverville,NY
1116,KINGSTON-NY.GOV,City,Non-Federal Agency,Kingston,NY
1129,LACKAWANNANY.GOV,City,Non-Federal Agency,Lackawanna,NY
1133,LAGRANGENY.GOV,City,Non-Federal Agency,Lagrangeville,NY
1137,LAKEGROVENY.GOV,City,Non-Federal Agency,Lake Grove,NY
1152,LANCASTERNY.GOV,City,Non-Federal Agency,Lancaster,NY
1215,LOCKPORTNY.GOV,City,Non-Federal Agency,Lockport,NY
1227,LONGBEACHNY.GOV,City,Non-Federal Agency,Long Beach,NY
1276,MAMARONECK-NY.GOV,City,Non-Federal Agency,Mamaroneck,NY
1277,MAMARONECKVILLAGENY.GOV,City,Non-Federal Agency,Mamaroneck,NY
1316,MASTICBEACHVILLAGENY.GOV,City,Non-Federal Agency,Mastic Beach,NY
1327,MECHANICVILLENY.GOV,City,Non-Federal Agency,Mechanicville,NY
1362,MILAN-NY.GOV,City,Non-Federal Agency,Milan,NY
1377,MINEOLA-NY.GOV,City,Non-Federal Agency,Mineola,NY
1417,MOUNTKISCONY.GOV,City,Non-Federal Agency,Mount Kisco,NY
1499,NEWWINDSOR-NY.GOV,City,Non-Federal Agency,New Windsor,NY
1501,NIAGARAFALLSNY.GOV,City,Non-Federal Agency,Niagara Falls,NY
1502,NIAGARAFALLSNYCARTS.GOV,City,Non-Federal Agency,Niagara Falls,NY
1507,NISSEQUOGUENY.GOV,City,Non-Federal Agency,St. James,NY
1537,NORTHHEMPSTEADNY.GOV,City,Non-Federal Agency,MANHASSET,NY
1539,NORTHPORTNY.GOV,City,Non-Federal Agency,Northport,NY
1554,NYACK-NY.GOV,City,Non-Federal Agency,Nyack,NY
1555,NYC-NY.GOV,City,Non-Federal Agency,Brooklyn,NY
1556,NYC.GOV,City,Non-Federal Agency,Brooklyn,NY
1598,OYSTERBAY-NY.GOV,City,Non-Federal Agency,Oyster Bay,NY
1644,PIERMONT-NY.GOV,City,Non-Federal Agency,Piermont,NY
