,Domain Name,Domain Type,Agency,City,State
18,AKRONOHIO.GOV,City,Non-Federal Agency,Akron,OH
36,ALLIANCEOH.GOV,City,Non-Federal Agency,Alliance,OH
86,ASHVILLEOHIO.GOV,City,Non-Federal Agency,Ashville,OH
128,BEAVERCREEKOHIO.GOV,City,Non-Federal Agency,Beavercreek,OH
131,BEAVERTWP-OH.GOV,City,Non-Federal Agency,North Lima,OH
133,BEDFORDHEIGHTS.GOV,City,Non-Federal Agency,Bedford Heights,OH
136,BEDFORDOH.GOV,City,Non-Federal Agency,Bedford,OH
172,BETHEL-OH.GOV,City,Non-Federal Agency,Bethel,OH
196,BLUEASH-OH.GOV,City,Non-Federal Agency,Blue Ash,OH
238,BRIMFIELDOHIO.GOV,City,Non-Federal Agency,Kent,OH
249,BROOKLYNOHIO.GOV,City,Non-Federal Agency,Brooklyn,OH
279,BYESVILLEOH.GOV,City,Non-Federal Agency,Byesville,OH
292,CAMPBELLOHIO.GOV,City,Non-Federal Agency,Campbell,OH
293,CANALWINCHESTEROHIO.GOV,City,Non-Federal Agency,Canal Winchester,OH
296,CANTONOHIO.GOV,City,Non-Federal Agency,Canton,OH
297,CANTONTWP-OH.GOV,City,Non-Federal Agency,Canton,OH
327,CENTERVILLEOHIO.GOV,City,Non-Federal Agency,Centerville,OH
361,CHILLICOTHEOH.GOV,City,Non-Federal Agency,Chillicothe,OH
370,CINCINNATI-OH.GOV,City,Non-Federal Agency,Cincinnati,OH
371,CINCINNATIOHIO.GOV,City,Non-Federal Agency,Cincinnati,OH
389,CITYOFCANALFULTON-OH.GOV,City,Non-Federal Agency,Canal Fulton,OH
464,CITYOFPARMA-OH.GOV,City,Non-Federal Agency,Parma,OH
466,CITYOFPATASKALAOHIO.GOV,City,Non-Federal Agency,Pataskala,OH
511,CLEVELAND-OH.GOV,City,Non-Federal Agency,Cleveland,OH
512,CLEVELANDOHIO.GOV,City,Non-Federal Agency,Cleveland,OH
543,COLUMBIANAOHIO.GOV,City,Non-Federal Agency,Columbiana,OH
546,COLUMBIATWP-OH.GOV,City,Non-Federal Agency,Columbia Station,OH
547,COLUMBUS.GOV,City,Non-Federal Agency,Columbus,OH
548,COLUMBUSOH.GOV,City,Non-Federal Agency,Columbus,OH
549,COLUMBUSOHIO.GOV,City,Non-Federal Agency,Columbus,OH
550,COMMERCIALPOINTOHIO.GOV,City,Non-Federal Agency,Commercial Point,OH
557,CONNEAUTOHIO.GOV,City,Non-Federal Agency,Conneaut,OH
586,COVINGTON-OH.GOV,City,Non-Federal Agency,COVINGTON ,OH
627,DAYTONOHIO.GOV,City,Non-Federal Agency,Dayton,OH
635,DEERPARK-OH.GOV,City,Non-Federal Agency,Deer Park,OH
668,DUBLINOHIOUSA.GOV,City,Non-Federal Agency,Dublin,OH
704,EASTPALESTINE-OH.GOV,City,Non-Federal Agency,East Palestine,OH
737,ELMWOODPLACE-OH.GOV,City,Non-Federal Agency,Cincinnati,OH
748,ENON-OH.GOV,City,Non-Federal Agency,Enon,OH
766,FAIRFIELDOH.GOV,City,Non-Federal Agency,Fairfield,OH
816,FOSTORIAOHIO.GOV,City,Non-Federal Agency,Fostoria,OH
848,GAHANNA.GOV,City,Non-Federal Agency,Gahanna,OH
850,GALENAOHIO.GOV,City,Non-Federal Agency,Galena,OH
867,GENEVAOHIO.GOV,City,Non-Federal Agency,Geneva,OH
882,GLENWILLOW-OH.GOV,City,Non-Federal Agency,Glenwillow,OH
894,GOSHEN-OH.GOV,City,Non-Federal Agency,Goshen,OH
930,GROVECITYOHIO.GOV,City,Non-Federal Agency,Grove City,OH
945,HAMILTON-OH.GOV,City,Non-Federal Agency,Hamilton,OH
968,HARRISONOH.GOV,City,Non-Federal Agency,Harrison,OH
969,HARRISONOHIO.GOV,City,Non-Federal Agency,Harrison,OH
984,HEATHOHIO.GOV,City,Non-Federal Agency,Heath,OH
1005,HILLIARDOHIO.GOV,City,Non-Federal Agency,Hilliard,OH
1057,INDEPENDENCEOHIO.GOV,City,Non-Federal Agency,Independence,OH
1177,LEBANONOHIO.GOV,City,Non-Federal Agency,Lebanon,OH
1209,LINNDALEVILLAGE-OH.GOV,City,Non-Federal Agency,Linndale,OH
1246,LOVELANDOH.GOV,City,Non-Federal Agency,Loveland,OH
1295,MANTUATOWNSHIPOHIO.GOV,City,Non-Federal Agency,Mantua,OH
1349,MIAMITOWNSHIPOH.GOV,City,Non-Federal Agency,Milford,OH
1350,MIAMITWPOH.GOV,City,Non-Federal Agency,Milford,OH
1361,MIFFLIN-OH.GOV,City,Non-Federal Agency,Gahanna,OH
1364,MILANOHIO.GOV,City,Non-Federal Agency,Milan,OH
1391,MONROETWP-OH.GOV,City,Non-Federal Agency,Bethel,OH
1398,MONTGOMERYOHIO.GOV,City,Non-Federal Agency,Montgomery,OH
1440,MYCOLUMBUS.GOV,City,Non-Federal Agency,Columbus,OH
1469,NEWBURGHHTSOH.GOV,City,Non-Federal Agency,Newburgh Heights,OH
1473,NEWCONCORD-OH.GOV,City,Non-Federal Agency,New Concord,OH
1493,NEWRUSSIATOWNSHIP-OH.GOV,City,Non-Federal Agency,Oberlin,OH
1497,NEWTOWNOHIO.GOV,City,Non-Federal Agency,Newtown,OH
1530,NORTHCANTONOHIO.GOV,City,Non-Federal Agency,North Canton,OH
1534,NORTHFIELDVILLAGE-OH.GOV,City,Non-Federal Agency,NORTHFIELD,OH
1567,OAKWOODOHIO.GOV,City,Non-Federal Agency,Oakwood,OH
1614,PARMAHEIGHTSOH.GOV,City,Non-Federal Agency,Parma Heights,OH
1688,PORTCLINTON-OH.GOV,City,Non-Federal Agency,Port Clinton,OH
1722,RANDOLPHTOWNSHIPOHIO.GOV,City,Non-Federal Agency,Randolph,OH
1769,ROAMINGSHORESOH.GOV,City,Non-Federal Agency,Roaming Shores,OH
1809,RUSSELLSPOINT-OH.GOV,City,Non-Federal Agency,Russells Point,OH
1940,SPRINGFIELDOHIO.GOV,City,Non-Federal Agency,Springfield,OH
2018,TIFFINOHIO.GOV,City,Non-Federal Agency,Tiffin,OH
2022,TIPPCITYOHIO.GOV,City,Non-Federal Agency,Tipp City,OH
2093,TROYOHIO.GOV,City,Non-Federal Agency,Troy,OH
2159,VILLAGEOFMCCOMBOH.GOV,City,Non-Federal Agency,McComb,OH
2162,VILLAGEOFNEWHOLLAND-OH.GOV,City,Non-Federal Agency,New Holland,OH
2163,VILLAGEOFNEWTOWNOHIO.GOV,City,Non-Federal Agency,Newtown,OH
2177,WAITEHILLOH.GOV,City,Non-Federal Agency,Waite Hill,OH
2185,WALTONHILLSOHIO.GOV,City,Non-Federal Agency,Walton Hills,OH
2242,WESTJEFFERSONOHIO.GOV,City,Non-Federal Agency,West Jefferson,OH
2244,WESTMILTONOHIO.GOV,City,Non-Federal Agency,West Milton,OH
2265,WHITEHOUSEOH.GOV,City,Non-Federal Agency,Whitehouse,OH
2285,WILLOUGHBYHILLS-OH.GOV,City,Non-Federal Agency,Willoughby Hills,OH
2317,WYOMINGOHIO.GOV,City,Non-Federal Agency,Wyoming,OH
2318,XENIA-OH.GOV,City,Non-Federal Agency,Xenia,OH
2323,YOUNGSTOWNOHIO.GOV,City,Non-Federal Agency,Youngstown,OH
