,Domain Name,Domain Type,Agency,City,State
42,ALTUSOK.GOV,City,Non-Federal Agency,Altus,OK
186,BIXBYOK.GOV,City,Non-Federal Agency,Bixby,OK
242,BROKENARROWOK.GOV,City,Non-Federal Agency,Broken Arrow,OK
303,CARNEGIEOK.GOV,City,Non-Federal Agency,Carnegie,OK
398,CITYOFCOWETA-OK.GOV,City,Non-Federal Agency,Coweta,OK
415,CITYOFGROVEOK.GOV,City,Non-Federal Agency,Grove,OK
485,CITYOFSPENCEROK.GOV,City,Non-Federal Agency,Spencer,OK
502,CITYOFYUKONOK.GOV,City,Non-Federal Agency,Yukon,OK
521,CLINTONOK.GOV,City,Non-Federal Agency,Clinton,OK
674,DUNCANOK.GOV,City,Non-Federal Agency,Duncan,OK
804,FORESTPARKOK.GOV,City,Non-Federal Agency,Forest Park,OK
829,FREDERICKOK.GOV,City,Non-Federal Agency,Frederick,OK
962,HARRAH-OK.GOV,City,Non-Federal Agency,Harrah,OK
1051,IDABEL-OK.GOV,City,Non-Federal Agency,Idabel,OK
1169,LAWTONOK.GOV,City,Non-Federal Agency,Lawton,OK
1503,NICHOLSHILLS-OK.GOV,City,Non-Federal Agency,Nichols Hills,OK
1506,NINNEKAHOK.GOV,City,Non-Federal Agency,NINNEKAH,OK
1520,NORMANOK.GOV,City,Non-Federal Agency,Norman,OK
1552,NOWATAOK.GOV,City,Non-Federal Agency,Nowata,OK
1643,PIEDMONT-OK.GOV,City,Non-Federal Agency,PIEDMONT,OK
1677,PONCACITYOK.GOV,City,Non-Federal Agency,Ponca City,OK
1931,SPERRYOK.GOV,City,Non-Federal Agency,Sperry,OK
2189,WARRACRES-OK.GOV,City,Non-Federal Agency,Warr Acres,OK
