,Domain Name,Domain Type,Agency,City,State
4,TUALATIN.GOV,City,gov Helpdesk,Tualatin,OR
130,BEAVERTONOREGON.GOV,City,Non-Federal Agency,Beaverton,OR
156,BENDOREGON.GOV,City,Non-Federal Agency,Bend,OR
330,CENTRALPOINTOREGON.GOV,City,Non-Federal Agency,Central Point,OR
577,CORVALLISOREGON.GOV,City,Non-Federal Agency,Corvallis,OR
611,DALLASOR.GOV,City,Non-Federal Agency,Dallas,OR
612,DALLASOREGON.GOV,City,Non-Federal Agency,Dallas,OR
614,DAMASCUSOREGON.GOV,City,Non-Federal Agency,Damascus,OR
658,DONALDOREGON.GOV,City,Non-Federal Agency,Donald,OR
755,EUGENE-OR.GOV,City,Non-Federal Agency,Eugene,OR
771,FAIRVIEWOREGON.GOV,City,Non-Federal Agency,Fairview,OR
776,FALLSCITYOREGON.GOV,City,Non-Federal Agency,Falls City,OR
802,FORESTGROVE-OR.GOV,City,Non-Federal Agency,FOREST GROVE,OR
889,GOLDBEACHOREGON.GOV,City,Non-Federal Agency,GoldBeach,OR
906,GRANTSPASSOREGON.GOV,City,Non-Federal Agency,Grants Pass,OR
924,GRESHAMOREGON.GOV,City,Non-Federal Agency,Gresham,OR
958,HAPPYVALLEYOR.GOV,City,Non-Federal Agency,Happy Valley,OR
1006,HILLSBORO-OREGON.GOV,City,Non-Federal Agency,HILLSBORO,OR
1099,JUNCTIONCITYOREGON.GOV,City,Non-Federal Agency,Junction City,OR
1324,MCMINNVILLEOREGON.GOV,City,Non-Federal Agency,McMinnville,OR
1376,MILWAUKIEOREGON.GOV,City,Non-Federal Agency,Milwaukie,OR
1464,NEWBERGOREGON.GOV,City,Non-Federal Agency,Newberg,OR
1491,NEWPORTOREGON.GOV,City,Non-Federal Agency,Newport,OR
1642,PHOENIXOREGON.GOV,City,Non-Federal Agency,Phoenix,OR
1692,PORTLANDOREGON.GOV,City,Non-Federal Agency,Portland,OR
1733,READYWESTLINNOR.GOV,City,Non-Federal Agency,West Linn,OR
1876,SHERWOODOREGON.GOV,City,Non-Federal Agency,Sherwood,OR
1937,SPRINGFIELD-OR.GOV,City,Non-Federal Agency,Springfield,OR
1951,STAYTONOREGON.GOV,City,Non-Federal Agency,Stayton,OR
2019,TIGARD-OR.GOV,City,Non-Federal Agency,Tigard,OR
2020,TILLAMOOKOR.GOV,City,Non-Federal Agency,Tillamook,OR
2088,TROUTDALEOREGON.GOV,City,Non-Federal Agency,Troutdale,OR
2097,TUALATINOREGON.GOV,City,Non-Federal Agency,TUALATIN,OR
2136,VENETAOREGON.GOV,City,Non-Federal Agency,Veneta,OR
2139,VERNONIA-OR.GOV,City,Non-Federal Agency,Vernonia,OR
2243,WESTLINNOREGON.GOV,City,Non-Federal Agency,West Linn,OR
2274,WILLAMINAOREGON.GOV,City,Non-Federal Agency,Willamina,OR
2302,WOODBURN-OR.GOV,City,Non-Federal Agency,Woodburn,OR
2320,YAMHILLCOUNTY-OR.GOV,City,Non-Federal Agency,McMinnville,OR
