,Domain Name,Domain Type,Agency,City,State
32,ALIQUIPPAPA.GOV,City,Non-Federal Agency,Aliquippa,PA
35,ALLENTOWNPA.GOV,City,Non-Federal Agency,Allentown,PA
41,ALTOONAPA.GOV,City,Non-Federal Agency,Altoona,PA
70,ARCHBALDBOROUGHPA.GOV,City,Non-Federal Agency,Archbald,PA
129,BEAVERPA.GOV,City,Non-Federal Agency,Beaver,PA
145,BELLEFONTEPA.GOV,City,Non-Federal Agency,Bellefonte,PA
157,BENSALEMPA.GOV,City,Non-Federal Agency,Bensalem,PA
173,BETHLEHEM-PA.GOV,City,Non-Federal Agency,Bethlehem,PA
318,CECILTOWNSHIP-PA.GOV,City,Non-Federal Agency,Cecil,PA
332,CHADDSFORDPA.GOV,City,Non-Federal Agency,Chadds Ford,PA
333,CHAMBERSBURGPA.GOV,City,Non-Federal Agency,Chambersburg,PA
355,CHESTNUTHILLTWP-PA.GOV,City,Non-Federal Agency,Brodheadsville,PA
451,CITYOFMONONGAHELA-PA.GOV,City,Non-Federal Agency,Monongahela,PA
454,CITYOFNANTICOKE-PA.GOV,City,Non-Federal Agency,Nanticoke,PA
486,CITYOFSTMARYSPA.GOV,City,Non-Federal Agency,St. Marys,PA
490,CITYOFTITUSVILLEPA.GOV,City,Non-Federal Agency,Titusville,PA
494,CITYOFWARRENPA.GOV,City,Non-Federal Agency,Warren,PA
534,COLLEGEVILLE-PA.GOV,City,Non-Federal Agency,Collegeville,PA
575,CORRYPA.GOV,City,Non-Federal Agency,Corry,PA
623,DAUGHERTYTOWNSHIP-PA.GOV,City,Non-Federal Agency,New Brighton,PA
638,DELAWARETOWNSHIPPA.GOV,City,Non-Federal Agency,Dingmans Ferry,PA
655,DICKSONCITY-PA.GOV,City,Non-Federal Agency,Dickson City,PA
669,DUBOISPA.GOV,City,Non-Federal Agency,DuBois,PA
678,DUNMOREPA.GOV,City,Non-Federal Agency,Dunmore,PA
683,DUSHOREPA.GOV,City,Non-Federal Agency,Dushore,PA
691,EASTCOVENTRY-PA.GOV,City,Non-Federal Agency,Pottstown,PA
700,EASTON-PA.GOV,City,Non-Federal Agency,Easton,PA
824,FRANKLINPA.GOV,City,Non-Federal Agency,Franklin,PA
872,GETTYSBURG-PA.GOV,City,Non-Federal Agency,Gettysburg,PA
913,GREENCASTLEPA.GOV,City,Non-Federal Agency,Greencastle,PA
959,HARMARTOWNSHIP-PA.GOV,City,Non-Federal Agency,Freeport,PA
964,HARRISBURGPA.GOV,City,Non-Federal Agency,Harrisburg,PA
970,HARRISONTWP-PA.GOV,City,Non-Federal Agency,Natrona Heights,PA
1038,HULMEVILLE-PA.GOV,City,Non-Federal Agency,Hulmeville,PA
1080,JACKSONTOWNSHIP-PA.GOV,City,Non-Federal Agency,Myerstown,PA
1081,JACKSONTOWNSHIPPA.GOV,City,Non-Federal Agency,Jackson Township,PA
1082,JACKSONTWP-PA.GOV,City,Non-Federal Agency,Reeders,PA
1130,LACKAWAXENTOWNSHIPPA.GOV,City,Non-Federal Agency,Hawley,PA
1156,LANTABUS-PA.GOV,City,Non-Federal Agency,Allentown,PA
1214,LOCKHAVENPA.GOV,City,Non-Federal Agency,Lock Haven,PA
1220,LOGANTOWNSHIP-PA.GOV,City,Non-Federal Agency,Altoona,PA
1223,LONDONBRITAINTOWNSHIP-PA.GOV,City,Non-Federal Agency,Landenberg,PA
1251,LOWERPAXTON-PA.GOV,City,Non-Federal Agency,Harrisburg,PA
1322,MCKEESPORT-PA.GOV,City,Non-Federal Agency,McKeesport,PA
1419,MOUNTPOCONO-PA.GOV,City,Non-Federal Agency,Mount Pocono,PA
1446,NARBERTHPA.GOV,City,Non-Federal Agency,Narberth,PA
1455,NAZARETHBOROUGHPA.GOV,City,Non-Federal Agency,Nazareth,PA
1472,NEWCASTLEPA.GOV,City,Non-Federal Agency,New Castle,PA
1498,NEWTOWNPA.GOV,City,Non-Federal Agency,Newtown,PA
1538,NORTHLEBANONTWPPA.GOV,City,Non-Federal Agency,Lebanon,PA
1544,NORTHUNIONTOWNSHIP-PA.GOV,City,Non-Federal Agency,Lemont Furnace,PA
1638,PHILA.GOV,City,Non-Federal Agency,Philadelphia,PA
1654,PITTSBURGHPA.GOV,City,Non-Federal Agency,Pittsburgh,PA
1668,PLUMSTEAD.GOV,City,Non-Federal Agency,Plumsteadville,PA
1672,POCONOPA.GOV,City,Non-Federal Agency,Tannersville,PA
1696,POTTERTWP-PA.GOV,City,Non-Federal Agency,Monaca,PA
1730,READINGPA.GOV,City,Non-Federal Agency,Reading,PA
1771,ROBINSONPA.GOV,City,Non-Federal Agency,McDonald,PA
1854,SCRANTONPA.GOV,City,Non-Federal Agency,Scranton,PA
1893,SLIPPERYROCKBOROUGHPA.GOV,City,Non-Federal Agency,Slippery Rock,PA
1913,SOUTHABINGTONPA.GOV,City,Non-Federal Agency,Chinchilla,PA
1933,SPRINGCITYPA.GOV,City,Non-Federal Agency,Spring City,PA
1949,STATECOLLEGEPA.GOV,City,Non-Federal Agency,State College,PA
1963,STMARYSPA.GOV,City,Non-Federal Agency,St. Marys,PA
2024,TOBYHANNATWPPA.GOV,City,Non-Federal Agency,Pocono Pines,PA
2128,UPPERUWCHLAN-PA.GOV,City,Non-Federal Agency,Chester Springs,PA
2140,VERNONTWP-PA.GOV,City,Non-Federal Agency,Meadville,PA
2191,WARRENPA.GOV,City,Non-Federal Agency,Warren,PA
2197,WASHINGTONPA.GOV,City,Non-Federal Agency,Washington,PA
2212,WAYNESBURGPA.GOV,City,Non-Federal Agency,Waynesburg,PA
2215,WEATHERLYPA.GOV,City,Non-Federal Agency,Weatherly,PA
2273,WILKINSBURGPA.GOV,City,Non-Federal Agency,Wilkinsburg,PA
2294,WINDGAP-PA.GOV,City,Non-Federal Agency,Wind Gap,PA
