,Domain Name,Domain Type,Agency,City,State
276,BURRILLVILLE-RI.GOV,City,Non-Federal Agency,Harrisville,RI
584,COVENTRYRI.GOV,City,Non-Federal Agency,Coventry,RI
1085,JAMESTOWNRI.GOV,City,Non-Federal Agency,Jamestown,RI
1447,NARRAGANSETTRI.GOV,City,Non-Federal Agency,Narragansett,RI
1485,NEWPORT-RI.GOV,City,Non-Federal Agency,Newport,RI
1540,NORTHPROVIDENCERI.GOV,City,Non-Federal Agency,North Providence,RI
1712,PROVIDENCERI.GOV,City,Non-Federal Agency,Providence,RI
1894,SMITHFIELDRI.GOV,City,Non-Federal Agency,Smithfield,RI
2077,TOWNOFWARREN-RI.GOV,City,Non-Federal Agency,Warren,RI
2193,WARWICKRI.GOV,City,Non-Federal Agency,Warwick,RI
2233,WESTERLYRI.GOV,City,Non-Federal Agency,Westerly,RI
