,Domain Name,Domain Type,Agency,City,State
338,CHARLESTON-SC.GOV,City,Non-Federal Agency,Charleston,SC
374,CITYOFAIKENSC.GOV,City,Non-Federal Agency,Aiken,SC
390,CITYOFCAYCE-SC.GOV,City,Non-Federal Agency,Cayce,SC
411,CITYOFGAFFNEY-SC.GOV,City,Non-Federal Agency,Gaffney,SC
477,CITYOFROCKHILLSC.GOV,City,Non-Federal Agency,Rock Hill,SC
484,CITYOFSPARTANBURG-SC.GOV,City,Non-Federal Agency,Spartanburg,SC
544,COLUMBIASC.GOV,City,Non-Federal Agency,Columbia,SC
810,FORTMILLSC.GOV,City,Non-Federal Agency,Fort Mill,SC
923,GREENVILLESC.GOV,City,Non-Federal Agency,Greenville,SC
951,HAMPTONSC.GOV,City,Non-Federal Agency,Hampton,SC
972,HARTSVILLESC.GOV,City,Non-Federal Agency,Hartsville,SC
1008,HILTONHEADISLANDSC.GOV,City,Non-Federal Agency,Hilton Head Island,SC
1078,JACKSON-SC.GOV,City,Non-Federal Agency,Jackson,SC
1256,LYMANSC.GOV,City,Non-Federal Agency,Lyman,SC
1304,MARIONSC.GOV,City,Non-Federal Agency,Marion,SC
1762,RIDGELANDSC.GOV,City,Non-Federal Agency,Ridgeland,SC
1869,SENECASC.GOV,City,Non-Federal Agency,Seneca,SC
1980,SUMMERVILLESC.GOV,City,Non-Federal Agency,Summerville,SC
1982,SUMTERSC.GOV,City,Non-Federal Agency,Sumter,SC
2007,TEGACAYSC.GOV,City,Non-Federal Agency,Tega Cay,SC
2037,TOWNOFBLYTHEWOODSC.GOV,City,Non-Federal Agency,Blythewood,SC
2058,TOWNOFNORTH-SC.GOV,City,Non-Federal Agency,North,SC
2232,WESTCOLUMBIASC.GOV,City,Non-Federal Agency,West Columbia,SC
