,Domain Name,Domain Type,Agency,City,State
0,GOODLETTSVILLE.GOV,City,Commission on Civil Rights,Goodlettsville,TN
31,ALGOODTN.GOV,City,Non-Federal Agency,Algood,TN
84,ASHLANDCITYTN.GOV,City,Non-Federal Agency,Ashland City,TN
225,BRENTWOOD-TN.GOV,City,Non-Federal Agency,Brentwood,TN
229,BRENTWOODTN.GOV,City,Non-Federal Agency,Brentwood,TN
251,BROWNSVILLETN.GOV,City,Non-Federal Agency,Brownsville,TN
290,CAMDENTN.GOV,City,Non-Federal Agency,Camden,TN
347,CHATTANOOGA.GOV,City,Non-Federal Agency,Chattanooga,TN
368,CHURCHHILLTN.GOV,City,Non-Federal Agency,Church Hill,TN
377,CITYOFALCOA-TN.GOV,City,Non-Federal Agency,Alcoa,TN
378,CITYOFALGOODTN.GOV,City,Non-Federal Agency,Algood,TN
463,CITYOFPARISTN.GOV,City,Non-Federal Agency,Paris,TN
469,CITYOFPIGEONFORGETN.GOV,City,Non-Federal Agency,Pigeon Forge,TN
474,CITYOFPORTLANDTN.GOV,City,Non-Federal Agency,Portland,TN
513,CLEVELANDTN.GOV,City,Non-Federal Agency,Cleveland,TN
532,COLLEGEDALETN.GOV,City,Non-Federal Agency,Collegedale,TN
535,COLLIERVILLETN.GOV,City,Non-Federal Agency,Collierville,TN
545,COLUMBIATN.GOV,City,Non-Federal Agency,Columbia,TN
561,COOKEVILLE-TN.GOV,City,Non-Federal Agency,Cookeville,TN
596,CROSSVILLETN.GOV,City,Non-Federal Agency,Crossville,TN
616,DANDRIDGETN.GOV,City,Non-Federal Agency,Dandridge,TN
686,DYERSBURGTN.GOV,City,Non-Federal Agency,Dyersburg,TN
706,EASTRIDGETN.GOV,City,Non-Federal Agency,East Ridge,TN
782,FARRAGUT-TN.GOV,City,Non-Federal Agency,Farragut,TN
822,FRANKLIN-TN.GOV,City,Non-Federal Agency,Franklin,TN
825,FRANKLINTN.GOV,City,Non-Federal Agency,Franklin,TN
852,GALLATIN-TN.GOV,City,Non-Federal Agency,Gallatin,TN
853,GALLAWAYTN.GOV,City,Non-Federal Agency,Gallaway,TN
865,GATLINBURGTN.GOV,City,Non-Federal Agency,Gatlinburg,TN
871,GERMANTOWN-TN.GOV,City,Non-Federal Agency,Germantown,TN
892,GOODLETTSVILLE-TN.GOV,City,Non-Federal Agency,Goodlettsville,TN
914,GREENEVILLETN.GOV,City,Non-Federal Agency,Greeneville,TN
990,HENDERSONTN.GOV,City,Non-Federal Agency,Henderson,TN
1086,JAMESTOWNTN.GOV,City,Non-Federal Agency,Jamestown,TN
1095,JOHNSONCITYTN.GOV,City,Non-Federal Agency,Johnson City,TN
1115,KINGSPORTTN.GOV,City,Non-Federal Agency,Kingsport,TN
1117,KINGSTONSPRINGS-TN.GOV,City,Non-Federal Agency,Kingston Springs,TN
1127,KNOXVILLETN.GOV,City,Non-Federal Agency,Knoxville,TN
1131,LAFOLLETTETN.GOV,City,Non-Federal Agency,LaFollette,TN
1141,LAKELANDTN.GOV,City,Non-Federal Agency,Lakeland,TN
1144,LAKESITETN.GOV,City,Non-Federal Agency,Lakesite,TN
1165,LAVERGNETN.GOV,City,Non-Federal Agency,La Vergne,TN
1167,LAWRENCEBURGTN.GOV,City,Non-Federal Agency,Lawrenceburg,TN
1186,LENOIRCITYTN.GOV,City,Non-Federal Agency,Lenoir City,TN
1191,LEWISBURGTN.GOV,City,Non-Federal Agency,Lewisburg,TN
1195,LEXINGTONTN.GOV,City,Non-Federal Agency,Lexington,TN
1244,LOUISVILLETN.GOV,City,Non-Federal Agency,Louisville,TN
1314,MARYVILLE-TN.GOV,City,Non-Federal Agency,maryville,TN
1323,MCKENZIETN.GOV,City,Non-Federal Agency,McKenzie,TN
1332,MEMPHISTN.GOV,City,Non-Federal Agency,Memphis,TN
1370,MILLINGTONTN.GOV,City,Non-Federal Agency,Millington,TN
1416,MOUNTCARMELTN.GOV,City,Non-Federal Agency,Mount Carmel,TN
1418,MOUNTPLEASANTTN.GOV,City,Non-Federal Agency,Mount Pleasant,TN
1425,MTJULIET-TN.GOV,City,Non-Federal Agency,Mt Juliet,TN
1431,MURFREESBOROTN.GOV,City,Non-Federal Agency,Murfreesboro,TN
1450,NASHVILLE.GOV,City,Non-Federal Agency,Nashville,TN
1515,NOLENSVILLETN.GOV,City,Non-Federal Agency,Nolensville,TN
1566,OAKRIDGETN.GOV,City,Non-Federal Agency,"Oak Ridge, TN 37830 United States",TN
1579,OLIVERSPRINGS-TN.GOV,City,Non-Federal Agency,Oliver Springs,TN
1611,PARISTN.GOV,City,Non-Federal Agency,Paris,TN
1734,REDBANKTN.GOV,City,Non-Federal Agency,Red Bank,TN
1745,RHEACOUNTYTN.GOV,City,Non-Federal Agency,Dayton,TN
1886,SIGNALMOUNTAINTN.GOV,City,Non-Federal Agency,Signal Mountain,TN
1902,SODDY-DAISY-TN.GOV,City,Non-Federal Agency,Soddy-Daisy,TN
1903,SODDY-DAISYTN.GOV,City,Non-Federal Agency,Soddy-Daisy,TN
1904,SODDYDAISY-TN.GOV,City,Non-Federal Agency,Soddy-Daisy,TN
1905,SODDYDAISYTN.GOV,City,Non-Federal Agency,Soddy-daisy,TN
1911,SOMERVILLETN.GOV,City,Non-Federal Agency,Town of Somerville,TN
1928,SOUTHPITTSBURG-TN.GOV,City,Non-Federal Agency,South Pittsburg,TN
1990,SURGOINSVILLETN.GOV,City,Non-Federal Agency,Surgoinsville,TN
2056,TOWNOFMONTEAGLE-TN.GOV,City,Non-Federal Agency,Monteagle,TN
2070,TOWNOFSMYRNA-TN.GOV,City,Non-Federal Agency,Smyrna,TN
2102,TULLAHOMATN.GOV,City,Non-Federal Agency,Tullahoma,TN
2119,UNIONCITYTN.GOV,City,Non-Federal Agency,UNION CITY,TN
2179,WALDENTN.GOV,City,Non-Federal Agency,Signal Mountain,TN
2248,WESTMORELANDTN.GOV,City,Non-Federal Agency,Westmoreland,TN
