,Domain Name,Domain Type,Agency,City,State
15,ADDISONTX.GOV,City,Non-Federal Agency,Addison,TX
20,ALAMOHEIGHTSTX.GOV,City,Non-Federal Agency,Alamo Heights,TX
40,ALTON-TX.GOV,City,Non-Federal Agency,Alton,TX
43,ALVIN-TX.GOV,City,Non-Federal Agency,Alvin,TX
44,AMARILLO.GOV,City,Non-Federal Agency,Amarillo,TX
60,ANNATEXAS.GOV,City,Non-Federal Agency,Anna,TX
61,ANNETTATX.GOV,City,Non-Federal Agency,Aledo,TX
67,ARANSASPASSTX.GOV,City,Non-Federal Agency,Aransas Pass,TX
73,ARLINGTON-TX.GOV,City,Non-Federal Agency,Arlington,TX
75,ARLINGTONTX.GOV,City,Non-Federal Agency,Arlington,TX
87,ATHENSTX.GOV,City,Non-Federal Agency,Athens,TX
93,AUBREYTX.GOV,City,Non-Federal Agency,Aubrey,TX
99,AURORATEXAS.GOV,City,Non-Federal Agency,Rhome,TX
101,AUSTINTEXAS.GOV,City,Non-Federal Agency,Austin,TX
102,AUSTINTX.GOV,City,Non-Federal Agency,Austin,TX
115,BASTROPTX.GOV,City,Non-Federal Agency,Bastrop,TX
126,BEAUMONTTEXAS.GOV,City,Non-Federal Agency,Beaumont,TX
137,BEDFORDTX.GOV,City,Non-Federal Agency,Bedford,TX
139,BEECAVETEXAS.GOV,City,Non-Federal Agency,Bee Cave,TX
142,BELLAIRETX.GOV,City,Non-Federal Agency,Bellaire,TX
154,BELTONTEXAS.GOV,City,Non-Federal Agency,Belton,TX
155,BENBROOK-TX.GOV,City,Non-Federal Agency,Benbrook,TX
177,BHTX.GOV,City,Non-Federal Agency,Balcones Heights,TX
180,BIGSANDYTX.GOV,City,Non-Federal Agency,Big Sandy,TX
198,BOERNE-TX.GOV,City,Non-Federal Agency,BOERNE,TX
201,BONNEYTEXAS.GOV,City,Non-Federal Agency,Bonney,TX
203,BORGERTX.GOV,City,Non-Federal Agency,Borger,TX
222,BRECKENRIDGETX.GOV,City,Non-Federal Agency,Breckenridge,TX
252,BROWNWOODTEXAS.GOV,City,Non-Federal Agency,Brownwood,TX
253,BRYANTX.GOV,City,Non-Federal Agency,Bryan,TX
261,BULVERDETX.GOV,City,Non-Federal Agency,Bulverde,TX
262,BUNKERHILLTX.GOV,City,Non-Federal Agency,HOUSTON,TX
283,CALDWELLTX.GOV,City,Non-Federal Agency,Caldwell,TX
298,CANTONTX.GOV,City,Non-Federal Agency,Canton,TX
314,CASTROVILLETX.GOV,City,Non-Federal Agency,Castroville,TX
320,CEDARPARKTEXAS.GOV,City,Non-Federal Agency,Cedar Park,TX
323,CELINA-TX.GOV,City,Non-Federal Agency,Celina,TX
328,CENTERVILLETX.GOV,City,Non-Federal Agency,College Station,TX
369,CIBOLOTX.GOV,City,Non-Federal Agency,Cibolo,TX
388,CITYOFBURTON-TX.GOV,City,Non-Federal Agency,Burton,TX
412,CITYOFGALENAPARK-TX.GOV,City,Non-Federal Agency,Galena Park,TX
425,CITYOFHONDO-TX.GOV,City,Non-Federal Agency,Hondo,TX
426,CITYOFHOUSTON.GOV,City,Non-Federal Agency,Houston,TX
427,CITYOFHUMBLE-TX.GOV,City,Non-Federal Agency,Humble,TX
428,CITYOFHUMBLETX.GOV,City,Non-Federal Agency,Humble,TX
429,CITYOFHUNTSVILLETX.GOV,City,Non-Federal Agency,Huntsville,TX
441,CITYOFLINDALETX.GOV,City,Non-Federal Agency,LINDALE,TX
443,CITYOFLUBBOCKTX.GOV,City,Non-Federal Agency,Lubbock,TX
492,CITYOFTYLER-TX.GOV,City,Non-Federal Agency,Tyler,TX
493,CITYOFTYLERTX.GOV,City,Non-Federal Agency,Tyler,TX
497,CITYOFWESTONLAKES-TX.GOV,City,Non-Federal Agency,Fulshear,TX
509,CLEARLAKESHORES-TX.GOV,City,Non-Federal Agency,Clear Lake Shores,TX
536,COLLINCOUNTYTEXAS.GOV,City,Non-Federal Agency,Mckinney,TX
537,COLLINCOUNTYTX.GOV,City,Non-Federal Agency,McKinney,TX
563,COPPELLTX.GOV,City,Non-Federal Agency,Coppell,TX
564,COPPERASCOVETX.GOV,City,Non-Federal Agency,Copperas Cove,TX
565,COR.GOV,City,Non-Federal Agency,Richardson,TX
573,CORPUSCHRISTI-TX.GOV,City,Non-Federal Agency,Corpus Christi,TX
595,CROSSROADSTX.GOV,City,Non-Federal Agency,Crossroads,TX
608,DALHARTTX.GOV,City,Non-Federal Agency,Dalhart,TX
610,DALLASCITYHALL-TX.GOV,City,Non-Federal Agency,Dallas,TX
631,DECATURTX.GOV,City,Non-Federal Agency,Decatur,TX
636,DEERPARKTX.GOV,City,Non-Federal Agency,Deer Park,TX
647,DESOTOTEXAS.GOV,City,Non-Federal Agency,DeSoto,TX
653,DICKINSON-TX.GOV,City,Non-Federal Agency,Dickinson,TX
654,DICKINSONTEXAS.GOV,City,Non-Federal Agency,Dickinson,TX
671,DUMASTX.GOV,City,Non-Federal Agency,Dumas,TX
675,DUNCANVILLETX.GOV,City,Non-Federal Agency,Duncanville,TX
689,EAGLELAKE-TX.GOV,City,Non-Federal Agency,Eagle Lake,TX
697,EASTLANDTEXAS.GOV,City,Non-Federal Agency,Eastland,TX
699,EASTMOUNTAINTX.GOV,City,Non-Federal Agency,East Mountain,TX
730,ELLAGO-TX.GOV,City,Non-Federal Agency,El Lago,TX
739,ELPASOTEXAS.GOV,City,Non-Federal Agency,El Paso,TX
740,EMERALDBAY-TX.GOV,City,Non-Federal Agency,Bullard,TX
747,ENNISTX.GOV,City,Non-Federal Agency,Ennis,TX
756,EULESSTX.GOV,City,Non-Federal Agency,Euless,TX
779,FARMERSBRANCHTX.GOV,City,Non-Federal Agency,Farmers Branch,TX
789,FERRISTEXAS.GOV,City,Non-Federal Agency,Ferris,TX
796,FLATONIATX.GOV,City,Non-Federal Agency,Flatonia,TX
800,FLORESVILLETX.GOV,City,Non-Federal Agency,Floresville,TX
813,FORTWORTH-TEXAS.GOV,City,Non-Federal Agency,Fort Worth,TX
814,FORTWORTH-TX.GOV,City,Non-Federal Agency,Fort Worth,TX
815,FORTWORTHTEXAS.GOV,City,Non-Federal Agency,Fort Worth,TX
841,FRISCOTEXAS.GOV,City,Non-Federal Agency,Frisco,TX
842,FRISCOTX.GOV,City,Non-Federal Agency,Frisco,TX
847,FULSHEARTEXAS.GOV,City,Non-Federal Agency,Fulshear,TX
857,GALVESTONTX.GOV,City,Non-Federal Agency,Galveston,TX
861,GARLANDTX.GOV,City,Non-Federal Agency,Garland,TX
870,GEORGETOWNTX.GOV,City,Non-Federal Agency,Georgetown,TX
880,GLENNHEIGHTSTX.GOV,City,Non-Federal Agency,Glenn Heights,TX
887,GODLEYTX.GOV,City,Non-Federal Agency,Godley,TX
908,GRAPEVINETEXAS.GOV,City,Non-Federal Agency,Grapevine,TX
909,GRAPEVINETX.GOV,City,Non-Federal Agency,Grapevine,TX
917,GREENHOUSTONTX.GOV,City,Non-Federal Agency,Houston,TX
925,GREYFOREST-TX.GOV,City,Non-Federal Agency,Grey Forest,TX
937,GUNTERTX.GOV,City,Non-Federal Agency,Gunter,TX
985,HEDWIGTX.GOV,City,Non-Federal Agency,Houston,TX
987,HELOTES-TX.GOV,City,Non-Federal Agency,Helotes,TX
992,HEREFORD-TX.GOV,City,Non-Federal Agency,Hereford,TX
997,HICKORYCREEK-TX.GOV,City,Non-Federal Agency,Hickory Creek,TX
