,Domain Name,Domain Type,Agency,City,State
64,APPLEVALLEYUT.GOV,City,Non-Federal Agency,Apple Valley,UT
190,BLANDING-UT.GOV,City,Non-Federal Agency,Blanding,UT
209,BOUNTIFULUTAH.GOV,City,Non-Federal Agency,Bountiful,UT
254,BRYCECANYONCITYUT.GOV,City,Non-Federal Agency,Bryce Canyon City,UT
907,GRANTSVILLEUT.GOV,City,Non-Federal Agency,Grantsville,UT
953,HANKSVILLEUTAH.GOV,City,Non-Federal Agency,Hanksville,UT
999,HIDEOUTUTAH.GOV,City,Non-Federal Agency,Hideout,UT
1183,LEHI-UT.GOV,City,Non-Federal Agency,Lehi,UT
1445,NAPLESCITYUT.GOV,City,Non-Federal Agency,Naples,UT
1923,SOUTHJORDANUTAH.GOV,City,Non-Federal Agency,South Jordan,UT
2004,TAYLORSVILLEUT.GOV,City,Non-Federal Agency,Taylorsville ,UT
2031,TORREYUTAH.GOV,City,Non-Federal Agency,Torrey,UT
2073,TOWNOFTROPICUT.GOV,City,Non-Federal Agency,Tropic,UT
2257,WESTVALLEYCITY-UT.GOV,City,Non-Federal Agency,West Valley City,UT
2314,WVC-UT.GOV,City,Non-Federal Agency,West Valley,UT
