,Domain Name,Domain Type,Agency,City,State
7,ABINGDON-VA.GOV,City,Non-Federal Agency,Abingdon,VA
27,ALEXANDRIAVA.GOV,City,Non-Federal Agency,Alexandria,VA
39,ALTAVISTAVA.GOV,City,Non-Federal Agency,Altavista,VA
50,AMHERSTVA.GOV,City,Non-Federal Agency,Amherst,VA
65,APPOMATTOXVA.GOV,City,Non-Federal Agency,Appomattox,VA
138,BEDFORDVA.GOV,City,Non-Federal Agency,Bedford,VA
166,BERRYVILLEVA.GOV,City,Non-Federal Agency,Berryville,VA
187,BLACKSBURG.GOV,City,Non-Federal Agency,Blacksburg,VA
256,BUCHANAN-VA.GOV,City,Non-Federal Agency,BUCHANAN,VA
342,CHARLOTTESVILLEVA.GOV,City,Non-Federal Agency,Charlottesville,VA
344,CHATHAM-VA.GOV,City,Non-Federal Agency,Chatham,VA
353,CHESTERFIELD.GOV,City,Non-Federal Agency,Chesterfield,VA
364,CHINCOTEAGUE-VA.GOV,City,Non-Federal Agency,Chincoteague,VA
518,CLIFTONFORGEVA.GOV,City,Non-Federal Agency,Clifton Forge,VA
538,COLONIALHEIGHTSVA.GOV,City,Non-Federal Agency,Colonial Heights,VA
602,CULPEPERVA.GOV,City,Non-Federal Agency,Culpeper,VA
619,DANVILLE-VA.GOV,City,Non-Federal Agency,Danville,VA
620,DANVILLEVA.GOV,City,Non-Federal Agency,Danville,VA
672,DUMFRIESVA.GOV,City,Non-Federal Agency,Dumfries,VA
728,ELKTONVA.GOV,City,Non-Federal Agency,Elkton,VA
765,FAIRFAXVA.GOV,City,Non-Federal Agency,Fairfax,VA
774,FALLSCHURCHCITYVA.GOV,City,Non-Federal Agency,Falls Church,VA
775,FALLSCHURCHVA.GOV,City,Non-Federal Agency,Falls Church,VA
830,FREDERICKSBURGVA.GOV,City,Non-Federal Agency,Fredericksburg,VA
844,FRONTROYAL-VA.GOV,City,Non-Federal Agency,Front Royal,VA
845,FRONTROYALVA.GOV,City,Non-Federal Agency,Front Royal,VA
948,HAMPTON.GOV,City,Non-Federal Agency,Hampton,VA
952,HAMPTONVA.GOV,City,Non-Federal Agency,Hampton,VA
956,HANOVERVA.GOV,City,Non-Federal Agency,Hanover,VA
967,HARRISONBURGVA.GOV,City,Non-Federal Agency,Harrisonburg,VA
979,HAYSIVIRGINIA.GOV,City,Non-Federal Agency,Haysi,VA
993,HERNDON-VA.GOV,City,Non-Federal Agency,Herndon,VA
1025,HOPEWELLVA.GOV,City,Non-Federal Agency,HOPEWELL,VA
1035,HRPDCVA.GOV,City,Non-Federal Agency,Chesapeake,VA
1181,LEESBURGVA.GOV,City,Non-Federal Agency,Leesburg,VA
1196,LEXINGTONVA.GOV,City,Non-Federal Agency,Lexington,VA
1247,LOVETTSVILLEVA.GOV,City,Non-Federal Agency,Lovettsville,VA
1259,LYNCHBURGVA.GOV,City,Non-Federal Agency,Lynchburg,VA
1279,MANASSASPARKVA.GOV,City,Non-Federal Agency,Manassas Park,VA
1280,MANASSASVA.GOV,City,Non-Federal Agency,Manassas,VA
1312,MARTINSVILLE-VA.GOV,City,Non-Federal Agency,Martinsville,VA
1351,MIDDLEBURGVA.GOV,City,Non-Federal Agency,Middleburg,VA
1357,MIDDLETOWNVA.GOV,City,Non-Federal Agency,Middletown,VA
1489,NEWPORTNEWSVA.GOV,City,Non-Federal Agency,Newport News,VA
1509,NNVA.GOV,City,Non-Federal Agency,Newport News,VA
1516,NORFOLK.GOV,City,Non-Federal Agency,Norfolk,VA
1518,NORFOLKVA.GOV,City,Non-Federal Agency,Norfolk,VA
1546,NORTONVA.GOV,City,Non-Federal Agency,Norton,VA
1569,OCCOQUANVA.GOV,City,Non-Federal Agency,Occoquan,VA
1635,PETERSBURGVA.GOV,City,Non-Federal Agency,Petersburg,VA
1682,POQUOSON-VA.GOV,City,Non-Federal Agency,Poquioson,VA
1694,PORTSMOUTHVA.GOV,City,Non-Federal Agency,Portsmouth,VA
1695,PORTSMOUTHVIRGINIA.GOV,City,Non-Federal Agency,Portsmouth,VA
1697,POWHATANVA.GOV,City,Non-Federal Agency,Powhatan,VA
1714,PURCELLVILLEVA.GOV,City,Non-Federal Agency,Purcellville,VA
1717,RADFORDVA.GOV,City,Non-Federal Agency,Radford,VA
1740,REMINGTON-VA.GOV,City,Non-Federal Agency,Remington,VA
1752,RICHLANDS-VA.GOV,City,Non-Federal Agency,Richlands,VA
1770,ROANOKEVA.GOV,City,Non-Federal Agency,Roanoke,VA
1820,SALEMVA.GOV,City,Non-Federal Agency,Salem,VA
1895,SMITHFIELDVA.GOV,City,Non-Federal Agency,Smithfield,VA
1976,SUFFOLK-VA.GOV,City,Non-Federal Agency,Suffolk,VA
2001,TAPPAHANNOCK-VA.GOV,City,Non-Federal Agency,Tappahannock,VA
2049,TOWNOFHURTVA.GOV,City,Non-Federal Agency,HURT,VA
2060,TOWNOFORANGEVA.GOV,City,Non-Federal Agency,Orange,VA
2063,TOWNOFPENNINGTONVA.GOV,City,Non-Federal Agency,Pennington Gap,VA
2074,TOWNOFTROUTVILLE-VA.GOV,City,Non-Federal Agency,Troutville,VA
2078,TOWNOFWASHINGTONVA.GOV,City,Non-Federal Agency,Washington,VA
2080,TOWNOFWOODSTOCKVA.GOV,City,Non-Federal Agency,Woodstock,VA
2130,URBANNAVA.GOV,City,Non-Federal Agency,Urbanna,VA
2147,VIENNAVA.GOV,City,Non-Federal Agency,VIENNA,VA
2171,VINTONVA.GOV,City,Non-Federal Agency,Vinton,VA
2192,WARRENTONVA.GOV,City,Non-Federal Agency,Warrenton,VA
2198,WASHINGTONVA.GOV,City,Non-Federal Agency,Washington,VA
2200,WASHINGTONVIRGINIA.GOV,City,Non-Federal Agency,Washington,VA
2278,WILLIAMSBURGVA.GOV,City,Non-Federal Agency,Williamsburg,VA
2292,WINCHESTERVA.GOV,City,Non-Federal Agency,Winchester,VA
2296,WINDSOR-VA.GOV,City,Non-Federal Agency,Windsor,VA
