,Domain Name,Domain Type,Agency,City,State
271,BURLINGTONVT.GOV,City,Non-Federal Agency,Burlington,VT
282,CALAISVERMONT.GOV,City,Non-Federal Agency,East Calais,VT
354,CHESTERVT.GOV,City,Non-Federal Agency,Chester,VT
528,COLCHESTERVT.GOV,City,Non-Federal Agency,Colchester,VT
764,FAIRFAX-VT.GOV,City,Non-Federal Agency,Fairfax,VT
1091,JERICHOVT.GOV,City,Non-Federal Agency,Jericho,VT
1282,MANCHESTER-VT.GOV,City,Non-Federal Agency,Manchester Center,VT
1531,NORTHFIELD-VT.GOV,City,Non-Federal Agency,Northfield,VT
1757,RICHMONDVT.GOV,City,Non-Federal Agency,Richmond,VT
1871,SHAFTSBURYVT.GOV,City,Non-Federal Agency,Shaftsbury,VT
1919,SOUTHBURLINGTONVT.GOV,City,Non-Federal Agency,South Burlington,VT
2116,UNDERHILLVT.GOV,City,Non-Federal Agency,"Underhill, Ctr",VT
