,Domain Name,Domain Type,Agency,City,State
3,MLTWA.GOV,City,gov Helpdesk,Mountlake Terrace,WA
6,ABERDEENWA.GOV,City,Non-Federal Agency,Aberdeen,WA
30,ALGONAWA.GOV,City,Non-Federal Agency,Algona,WA
76,ARLINGTONWA.GOV,City,Non-Federal Agency,Arlington,WA
96,AUBURNWA.GOV,City,Non-Federal Agency,Auburn,WA
106,BAINBRIDGEWA.GOV,City,Non-Federal Agency,Bainbridge Island,WA
127,BEAUXARTS-WA.GOV,City,Non-Federal Agency,Beaux Arts,WA
149,BELLEVUEWA.GOV,City,Non-Federal Agency,Bellevue,WA
206,BOTHELLWA.GOV,City,Non-Federal Agency,Bothell,WA
224,BREMERTONWA.GOV,City,Non-Federal Agency,Bremerton,WA
265,BURIENWA.GOV,City,Non-Federal Agency,Burien,WA
272,BURLINGTONWA.GOV,City,Non-Federal Agency,Burlington,WA
302,CARNATIONWA.GOV,City,Non-Federal Agency,Carnation,WA
380,CITYOFAUBURNWA.GOV,City,Non-Federal Agency,Auburn,WA
404,CITYOFDUPONTWA.GOV,City,Non-Federal Agency,DuPont,WA
459,CITYOFOLYMPIA-WA.GOV,City,Non-Federal Agency,Olympia,WA
460,CITYOFOLYMPIAWA.GOV,City,Non-Federal Agency,Olympia,WA
462,CITYOFPACIFICWA.GOV,City,Non-Federal Agency,Pacific,WA
475,CITYOFREDMOND.GOV,City,Non-Federal Agency,Redmond,WA
483,CITYOFSEATTLE.GOV,City,Non-Federal Agency,Seattle,WA
503,CITYOLYMPIA-WA.GOV,City,Non-Federal Agency,Olympia,WA
504,CITYOLYMPIAWA.GOV,City,Non-Federal Agency,Olympia,WA
556,CONCRETEWA.GOV,City,Non-Federal Agency,Concrete,WA
579,COSMOPOLISWA.GOV,City,Non-Federal Agency,Cosmopolis,WA
588,COVINGTONWA.GOV,City,Non-Federal Agency,Covington,WA
646,DESMOINESWA.GOV,City,Non-Federal Agency,Des Moines,WA
681,DUPONTWA.GOV,City,Non-Federal Agency,DuPont,WA
685,DUVALLWA.GOV,City,Non-Federal Agency,Duvall,WA
710,EATONVILLE-WA.GOV,City,Non-Federal Agency,Eatonville,WA
720,EDMONDS-WA.GOV,City,Non-Federal Agency,Edmonds,WA
721,EDMONDSWA.GOV,City,Non-Federal Agency,Edmonds,WA
760,EVERETTWA.GOV,City,Non-Federal Agency,Everett,WA
787,FEDERALWAYWA.GOV,City,Non-Federal Agency,Federal Way ,WA
903,GRANITEFALLSWA.GOV,City,Non-Federal Agency,Granite Falls,WA
1043,HUNTSPOINT-WA.GOV,City,Non-Federal Agency,Hunts Point,WA
1053,ILWACO-WA.GOV,City,Non-Federal Agency,Ilwaco,WA
1076,ISSAQUAHWA.GOV,City,Non-Federal Agency,Issaquah,WA
1104,KELSO.GOV,City,Non-Federal Agency,Kelso,WA
1106,KENMOREWA.GOV,City,Non-Federal Agency,Kenmore,WA
1109,KENTWA.GOV,City,Non-Federal Agency,Kent,WA
1120,KIRKLANDWA.GOV,City,Non-Federal Agency,Kirkland,WA
1146,LAKESTEVENSWA.GOV,City,Non-Federal Agency,Lake Stevens,WA
1200,LIBERTYLAKEWA.GOV,City,Non-Federal Agency,Liberty Lake,WA
1228,LONGBEACHWA.GOV,City,Non-Federal Agency,Long Beach,WA
1262,LYNNWOODWA.GOV,City,Non-Federal Agency,Lynnwood,WA
1297,MAPLEVALLEYWA.GOV,City,Non-Federal Agency,Maple Valley,WA
1313,MARYSVILLEWA.GOV,City,Non-Federal Agency,Marysville,WA
1329,MEDINA-WA.GOV,City,Non-Federal Agency,Medina,WA
1336,MERCERISLANDWA.GOV,City,Non-Federal Agency,Mercer Island,WA
1392,MONROEWA.GOV,City,Non-Federal Agency,Monroe,WA
1422,MOUNTVERNONWA.GOV,City,Non-Federal Agency,Mount Vernon,WA
1428,MUKILTEOWA.GOV,City,Non-Federal Agency,Mukilteo,WA
1519,NORMANDYPARKWA.GOV,City,Non-Federal Agency,Normandy Park,WA
1526,NORTHBENDWA.GOV,City,Non-Federal Agency,North Bend,WA
1580,OLYMPIA-WA.GOV,City,Non-Federal Agency,Olympia,WA
1581,OLYMPIAWA.GOV,City,Non-Federal Agency,Olympia,WA
1594,OTHELLOWA.GOV,City,Non-Federal Agency,Othello,WA
1599,PACIFICWA.GOV,City,Non-Federal Agency,Pacific,WA
1617,PASCO-WA.GOV,City,Non-Federal Agency,Pasco,WA
1713,PULLMAN-WA.GOV,City,Non-Federal Agency,Pullman,WA
1737,REDMOND.GOV,City,Non-Federal Agency,Redmond,WA
1744,RENTONWA.GOV,City,Non-Federal Agency,Renton,WA
1823,SAMMAMISHWA.GOV,City,Non-Federal Agency,Sammamish,WA
1860,SEATTLE.GOV,City,Non-Federal Agency,Seattle,WA
1866,SELAHWA.GOV,City,Non-Federal Agency,Selah,WA
1870,SEQUIMWA.GOV,City,Non-Federal Agency,SEQUIM,WA
1879,SHORELINE-WA.GOV,City,Non-Federal Agency,Shoreline,WA
1880,SHORELINEWA.GOV,City,Non-Federal Agency,Shoreline,WA
1899,SNOHOMISHWA.GOV,City,Non-Federal Agency,Snohomish,WA
1916,SOUTHBEND-WA.GOV,City,Non-Federal Agency,South Bend,WA
1981,SUMNERWA.GOV,City,Non-Federal Agency,Sumner,WA
1984,SUNNYSIDE-WA.GOV,City,Non-Federal Agency,Sunnyside,WA
1995,TACOMAWA.GOV,City,Non-Federal Agency,Tacoma,WA
2100,TUKWILAWA.GOV,City,Non-Federal Agency,Tukwila,WA
2103,TUMWATERWA.GOV,City,Non-Federal Agency,Tumwater,WA
2120,UNIONGAPWA.GOV,City,Non-Federal Agency,Union Gap,WA
2182,WALLAWALLAWA.GOV,City,Non-Federal Agency,Walla Walla,WA
2225,WENATCHEEWA.GOV,City,Non-Federal Agency,Wenatchee,WA
2319,YAKIMAWA.GOV,City,Non-Federal Agency,Yakima,WA
