,Domain Name,Domain Type,Agency,City,State
47,AMERYWI.GOV,City,Non-Federal Agency,Amery,WI
114,BASSLAKEWI.GOV,City,Non-Federal Agency,Hayward,WI
121,BAYSIDE-WI.GOV,City,Non-Federal Agency,Bayside,WI
152,BELOITWI.GOV,City,Non-Federal Agency,Beloit,WI
243,BROOKFIELD-WI.GOV,City,Non-Federal Agency,Brookfield,WI
250,BROOKLYNWI.GOV,City,Non-Federal Agency,Brooklyn,WI
267,BURLINGTON-WI.GOV,City,Non-Federal Agency,Burlington,WI
278,BUTLERWI.GOV,City,Non-Federal Agency,Butler,WI
365,CHIPPEWAFALLS-WI.GOV,City,Non-Federal Agency,Chippewa Falls,WI
373,CITYOFADAMS-WI.GOV,City,Non-Federal Agency,Adams,WI
382,CITYOFBELOITWI.GOV,City,Non-Federal Agency,Beloit,WI
393,CITYOFCHETEK-WI.GOV,City,Non-Federal Agency,Chetek,WI
420,CITYOFHAYWARDWI.GOV,City,Non-Federal Agency,Hayward,WI
445,CITYOFMARIONWI.GOV,City,Non-Federal Agency,MARION,WI
447,CITYOFMENASHA-WI.GOV,City,Non-Federal Agency,Menasha,WI
498,CITYOFWEYAUWEGA-WI.GOV,City,Non-Federal Agency,Weyauwega,WI
508,CLEARLAKE-WI.GOV,City,Non-Federal Agency,Clear Lake,WI
514,CLEVELANDWI.GOV,City,Non-Federal Agency,Cleveland,WI
601,CUDAHY-WI.GOV,City,Non-Federal Agency,Cudahy,WI
637,DEKORRA-WI.GOV,City,Non-Federal Agency,Poynette,WI
657,DISCOVERWAUKESHA-WI.GOV,City,Non-Federal Agency,Waukesha,WI
688,EAGLE-WI.GOV,City,Non-Federal Agency,Eagle,WI
707,EASTTROYWI.GOV,City,Non-Federal Agency,East Troy,WI
712,EAUCLAIREWI.GOV,City,Non-Federal Agency,Eau Claire,WI
725,ELKHARTLAKEWI.GOV,City,Non-Federal Agency,Elkhart Lake,WI
772,FALLCREEKWI.GOV,City,Non-Federal Agency,Fall Creek,WI
793,FITCHBURGWI.GOV,City,Non-Federal Agency,Fitchburg,WI
826,FRANKLINWI.GOV,City,Non-Federal Agency,Franklin,WI
877,GLENDALE-WI.GOV,City,Non-Federal Agency,Glendale,WI
911,GREENBAYWI.GOV,City,Non-Federal Agency,Green Bay,WI
1305,MARKESANWI.GOV,City,Non-Federal Agency,Markesan,WI
1334,MENOMONIE-WI.GOV,City,Non-Federal Agency,Menomonie,WI
1374,MILTON-WI.GOV,City,Non-Federal Agency,Milton,WI
1375,MILWAUKEE.GOV,City,Non-Federal Agency,Milwaukee,WI
1426,MTPLEASANTWI.GOV,City,Non-Federal Agency,Mount Pleasant,WI
1448,NASHOTAH-WI.GOV,City,Non-Federal Agency,Nashotah,WI
1492,NEWRICHMONDWI.GOV,City,Non-Federal Agency,New Richmond ,WI
1573,OCONOMOWOC-WI.GOV,City,Non-Federal Agency,Oconomowoc,WI
1631,PERRY-WI.GOV,City,Non-Federal Agency,Mount Horeb,WI
1663,PLEASANTPRAIRIE-WI.GOV,City,Non-Federal Agency,Pleasant Prairie,WI
1664,PLEASANTPRAIRIEWI.GOV,City,Non-Federal Agency,Pleasant Prairie,WI
1667,PLOVERWI.GOV,City,Non-Federal Agency,Plover,WI
1685,PORTAGEWI.GOV,City,Non-Federal Agency,Portage,WI
1698,POYNETTE-WI.GOV,City,Non-Federal Agency,Poynette,WI
1699,PRAIRIEDUCHIEN-WI.GOV,City,Non-Federal Agency,Prairie du Chien,WI
1738,REEDSBURGWI.GOV,City,Non-Federal Agency,Reedsburg,WI
1750,RICHFIELDWI.GOV,City,Non-Federal Agency,Hubertus,WI
1873,SHEBOYGANWI.GOV,City,Non-Federal Agency,Sheboygan,WI
1891,SISTERBAYWI.GOV,City,Non-Federal Agency,Sister Bay,WI
1954,STCROIXFALLSWI.GOV,City,Non-Federal Agency,City of St. Croix Falls,WI
1974,STURTEVANT-WI.GOV,City,Non-Federal Agency,Sturtevant,WI
2043,TOWNOFDUNNWI.GOV,City,Non-Federal Agency,McFarland,WI
2053,TOWNOFLAPOINTEWI.GOV,City,Non-Federal Agency,La Pointe,WI
2068,TOWNOFSHIELDS-WI.GOV,City,Non-Federal Agency,Montello,WI
2142,VERONAWI.GOV,City,Non-Federal Agency,Verona,WI
2158,VILLAGEOFMAZOMANIEWI.GOV,City,Non-Federal Agency,Mazomanie,WI
2196,WASHINGTONISLAND-WI.GOV,City,Non-Federal Agency,Washington Island,WI
2210,WAUKESHA-WI.GOV,City,Non-Federal Agency,Waukesha,WI
2227,WESTALLISWI.GOV,City,Non-Federal Agency,West Allis,WI
2229,WESTBENDWI.GOV,City,Non-Federal Agency,West Bend,WI
2251,WESTONWI.GOV,City,Non-Federal Agency,Weston,WI
2267,WHITEWATER-WI.GOV,City,Non-Federal Agency,Whitewater,WI
2297,WINDSORWI.GOV,City,Non-Federal Agency,DeForest,WI
2298,WINNECONNEWI.GOV,City,Non-Federal Agency,Winneconne,WI
