,Domain Name,Domain Type,Agency,City,State
234,BRIDGEPORTWV.GOV,City,Non-Federal Agency,Bridgeport,WV
339,CHARLESTONWV.GOV,City,Non-Federal Agency,Charleston,WV
403,CITYOFDUNBARWV.GOV,City,Non-Federal Agency,Dunbar,WV
768,FAIRMONTWV.GOV,City,Non-Federal Agency,Fairmont,WV
1407,MORGANTOWNWV.GOV,City,Non-Federal Agency,Morgantown,WV
1570,OCEANAWV.GOV,City,Non-Federal Agency,Oceana,WV
1612,PARKERSBURGWV.GOV,City,Non-Federal Agency,Parkersburg,WV
1709,PRINCETONWV.GOV,City,Non-Federal Agency,Princeton,WV
1759,RICHWOODWV.GOV,City,Non-Federal Agency,Richwood,WV
2224,WELLSBURGWV.GOV,City,Non-Federal Agency,WELLSBURG,WV
2263,WHEELINGWV.GOV,City,Non-Federal Agency,Wheeling,WV
